-DOCSTART- -X- O

12 OT O 
) OT O 
. OT O 
; OT O 
Terms OT O 
of OT O 
reference OT O 
A OT O 
Correspondence OT O 
Group OT O 
coordinated OT O 
by OT O 
the OT O 
expert OT O 
of OT O 
the OT O 
United OT O 
Kingdom OT O 
, OT O 
and OT O 
including OT O 
representatives OT O 
of OT O 
affected OT O 
industries OT O 
and OT O 
users OT O 
of OT O 
intermediate LF B-LF 
bulk LF I-LF 
containers LF I-LF 
( OT O 
IBC AN B-AN 
's AN I-AN 
) OT O 
, OT O 
shall OT O 
examine OT O 
current OT O 
practices OT O 
of OT O 
UN OT O 
composite OT O 
IBC AN I-AN 
re-bottling OT O 
and OT O 
cross OT O 
bottling OT O 
in LF I-LF 
several OT O 
countries OT O 
. OT O 

The OT O 
comprehensive OT O 
list OT O 
of OT O 
currently OT O 
identified OT O 
object OT O 
classes OT O 
( OT O 
including OT O 
cartographic OT O 
objects OT O 
and OT O 
composite OT O 
objects OT O 
) AN B-AN 
, OT O 
their OT O 
appropriate OT O 
attributes OT O 
and OT O 
the OT O 
full OT O 
range OT O 
of OT O 
allowable OT O 
attribute OT O 
values OT O 
. OT O 
It OT O 
can OT O 
be OT O 
compared OT O 
to OT O 
the OT O 
Chart OT O 
1 AN I-AN 
( OT O 
INT OT O 
1 AN I-AN 
) AN I-AN 
as OT O 
the OT O 
legend OT O 
of OT O 
the OT O 
paper OT O 
chart OT O 
, OT O 
a OT O 
collection OT O 
of OT O 
allowed OT O 
hydrographic OT O 
object OT O 
classes OT O 
. OT O 

Subregional OT O 
activities OT O 
for LF B-LF 
development OT O 
Legislative OT O 
mandates OT O 
15.1 OT O 
The OT O 
mandate OT O 
of OT O 
the LF I-LF 
Economic OT O 
and LF I-LF 
Social LF I-LF 
Commission LF I-LF 
for LF I-LF 
Asia LF I-LF 
and LF I-LF 
the LF I-LF 
Pacific LF I-LF 
( OT O 
ESCAP OT O 
) AN B-AN 
, OT O 
which OT O 
is LF I-LF 
to OT O 
promote OT O 
economic OT O 
and LF I-LF 
social OT O 
development OT O 
in OT O 
the LF I-LF 
Asian OT O 
and LF I-LF 
Pacific LF I-LF 
region OT O 
by OT O 
fostering OT O 
cooperation OT O 
between OT O 
its OT O 
members OT O 
and LF I-LF 
associate OT O 
members OT O 
, OT O 
is LF I-LF 
derived OT O 
from OT O 
Economic OT O 
and LF I-LF 
Social LF I-LF 
Council OT O 
resolutions OT O 
37 OT O 
( OT O 
IV OT O 
) AN I-AN 
and LF I-LF 
414 OT O 
( OT O 
XIII OT O 
) AN I-AN 
, OT O 
by OT O 
which OT O 
the LF I-LF 
Commission LF I-LF 
was OT O 
established OT O 
. OT O 

OIOS AN B-AN 
recommended OT O 
that OT O 
Secretariat OT O 
programmes OT O 
take OT O 
concrete OT O 
actions OT O 
to OT O 
reinforce OT O 
the LF B-LF 
commitment OT O 
to OT O 
gender OT O 
mainstreaming OT O 
and LF I-LF 
focus OT O 
on LF I-LF 
results OT O 
. OT O 
OIOS AN I-AN 
also OT O 
encouraged OT O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women AN I-AN 
) OT O 
to OT O 
take OT O 
the LF I-LF 
conclusions OT O 
of LF I-LF 
the LF I-LF 
evaluation OT O 
into OT O 
account OT O 
when OT O 
developing OT O 
its OT O 
mandate OT O 
and LF I-LF 
considering OT O 
its OT O 
resources OT O 
and LF I-LF 
structure OT O 
. OT O 

98 OT O 
. OT O 
The OT O 
Ministry OT O 
of OT O 
Education OT O 
and OT O 
Culture OT O 
has OT O 
supported OT O 
the OT O 
long-term OT O 
No OT O 
Racism LF B-LF 
( OT O 
NoRa OT O 
) AN B-AN 
programme OT O 
of OT O 
Save OT O 
the OT O 
Children OT O 
Finland OT O 
. OT O 

DRC AN B-AN 
= OT O 
Disability LF B-LF 
Rights LF B-LF 
Commission LF I-LF 
ECHR AN B-AN 
= OT O 
Convention LF I-LF 
for OT O 
the OT O 
Protection OT O 
of OT O 
Human LF I-LF 
Rights LF I-LF 
and OT O 
Fundamental OT O 
Freedoms OT O 
( OT O 
European LF I-LF 
Convention LF I-LF 
on LF I-LF 
Human LF I-LF 
Rights LF I-LF 
) OT O 
EOC AN B-AN 
= OT O 
Equal LF I-LF 
Opportunities LF I-LF 
Commission LF I-LF 
HRA AN B-AN 
= OT O 
Human LF I-LF 
Rights LF I-LF 
Act LF I-LF 
1998 OT O 

Other OT O 
travel-related OT O 
costs OT O 
Total OT O 
expenditure OT O 
Balancea OT O 
Abbreviations OT O 
: OT O 
AWG-KP AN B-AN 
= OT O 
Ad LF B-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
Further LF I-LF 
Commitments LF I-LF 
for LF I-LF 
Annex LF I-LF 
I LF I-LF 
Parties LF I-LF 
under LF I-LF 
the LF I-LF 
Kyoto LF I-LF 
Protocol LF I-LF 
, OT O 
AWG-LCA AN B-AN 
= OT O 
Ad LF I-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
Long-term LF I-LF 
Cooperative LF I-LF 
Action LF I-LF 
under LF I-LF 
the LF I-LF 
Convention OT O 
, OT O 
ADP AN B-AN 
= OT O 
Ad LF I-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
the LF I-LF 
Durban LF I-LF 
Platform LF I-LF 
for LF I-LF 
Enhanced OT O 
Action LF I-LF 
, OT O 
SBI AN I-AN 
= OT O 
Subsidiary LF I-LF 
Body LF I-LF 
for LF I-LF 
Implementation LF I-LF 
, OT O 
SBSTA AN B-AN 
= OT O 
Subsidiary LF I-LF 
Body LF I-LF 
for LF I-LF 
Scientific LF I-LF 
and LF I-LF 
Technological LF I-LF 
Advice LF I-LF 
. OT O 

The OT O 
Alliance OT O 
: OT O 
( OT O 
a LF B-LF 
) OT O 
Led OT O 
the OT O 
European OT O 
( OT O 
Economic LF B-LF 
Commission LF I-LF 
for LF I-LF 
Europe LF I-LF 
( OT O 
ECE AN B-AN 
) OT O 
) OT O 
Regional OT O 
Caucus OT O 
in OT O 
partnership OT O 
with OT O 
other OT O 
regional OT O 
caucuses OT O 
at LF I-LF 
the OT O 
Commission LF I-LF 
on LF I-LF 
the OT O 
Status OT O 
of LF I-LF 
Women LF I-LF 
in OT O 
important OT O 
and LF I-LF 
successful OT O 
lobbying OT O 
of LF I-LF 
Governments OT O 
against OT O 
any OT O 
weakening OT O 
of LF I-LF 
language OT O 
in OT O 
the OT O 
agreed OT O 
conclusions OT O 
; OT O 
( OT O 
b OT O 
) OT O 
Worked OT O 
with OT O 
the OT O 
Gender LF I-LF 
Equality LF I-LF 
Architecture OT O 
Reform OT O 
campaign OT O 
to OT O 
ensure OT O 
the OT O 
establishment OT O 
of LF I-LF 
the OT O 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women AN I-AN 
) OT O 
; OT O 
( OT O 
c LF I-LF 
) OT O 
Worked OT O 
with OT O 
other OT O 
leading OT O 
NGOs AN B-AN 
on LF I-LF 
the OT O 
needs OT O 
and LF I-LF 
concerns OT O 
of LF I-LF 
older OT O 
women OT O 
, OT O 
enabling OT O 
the OT O 
introduction OT O 
in OT O 
the OT O 
Committee OT O 
on LF I-LF 
the OT O 
Elimination OT O 
of LF I-LF 
Discrimination OT O 
against OT O 
Women LF I-LF 
of LF I-LF 
general OT O 
recommendation OT O 
No OT O 
. OT O 

10 OT O 
a.m. AN B-AN 
- OT O 
1 OT O 
p.m. AN B-AN 
Closed OT O 
meeting OT O 
Conference OT O 
Room OT O 
A OT O 
( OT O 
NLB AN B-AN 
) OT O 
Group OT O 
of OT O 
77 OT O 
( OT O 
Second OT O 
Committee OT O 
- OT O 
- OT O 
Sustainable OT O 
development OT O 
issues OT O 
) OT O 
10 OT O 
a.m. AN I-AN 
- OT O 
12 OT O 
noon OT O 
Closed OT O 
meeting OT O 
Conference OT O 
Room OT O 
D OT O 
( OT O 
NLB AN I-AN 
) OT O 
Group OT O 
of OT O 
77 OT O 
( OT O 
Second OT O 
Committee OT O 
- OT O 
- OT O 
Macroeconomic OT O 
issues OT O 
) OT O 

The OT O 
Secretary-General OT O 
has OT O 
received OT O 
the OT O 
following OT O 
statement OT O 
, OT O 
which OT O 
is OT O 
being OT O 
circulated OT O 
in LF B-LF 
accordance OT O 
with OT O 
paragraphs OT O 
36 OT O 
and LF B-LF 
37 OT O 
of LF I-LF 
Economic LF I-LF 
and LF I-LF 
Social LF I-LF 
Council LF I-LF 
resolution LF I-LF 
1996/31 OT O 
of LF I-LF 
25 OT O 
July OT O 
1996 OT O 
. AN B-AN 
`` OT O 
International LF I-LF 
Federation LF I-LF 
of LF I-LF 
Women LF I-LF 
in LF I-LF 
Legal LF I-LF 
Careers LF I-LF 
'' OT O 
( OT O 
I.F.W.L.C AN I-AN 
) OT O 
is OT O 
an LF I-LF 
international OT O 
NGO AN B-AN 
founded OT O 
in LF I-LF 
Paris OT O 
in LF I-LF 
1928 OT O 
, OT O 
and LF I-LF 
has OT O 
a LF I-LF 
consultative OT O 
status OT O 
with OT O 
the OT O 
ECOSOC AN B-AN 
, OT O 
since OT O 
1961 OT O 
. AN I-AN 

The OT O 
implementation OT O 
of LF B-LF 
the LF I-LF 
monitoring OT O 
, OT O 
analysis OT O 
and LF I-LF 
reporting OT O 
arrangements OT O 
will OT O 
involve OT O 
the LF I-LF 
systematic OT O 
collection OT O 
of LF I-LF 
timely OT O 
, OT O 
accurate OT O 
, OT O 
reliable OT O 
and LF I-LF 
objective OT O 
information OT O 
on LF B-LF 
conflict-related OT O 
sexual OT O 
violence OT O 
to OT O 
inform OT O 
prevention OT O 
efforts OT O 
, OT O 
including OT O 
early OT O 
warning OT O 
. OT O 
It OT O 
will OT O 
also OT O 
reinforce OT O 
synergies OT O 
with OT O 
United LF I-LF 
Nations LF I-LF 
country OT O 
team OT O 
members OT O 
, OT O 
particularly OT O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Population OT O 
Fund LF I-LF 
, OT O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Children LF I-LF 
's LF I-LF 
Fund LF I-LF 
( OT O 
UNICEF AN B-AN 
) OT O 
, OT O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women AN I-AN 
) OT O 
, OT O 
the LF I-LF 
Office OT O 
of LF I-LF 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
High OT O 
Commissioner OT O 
for LF I-LF 
Refugees OT O 
and LF I-LF 
the LF I-LF 
Joint OT O 
United LF I-LF 
Nations LF I-LF 
Programme OT O 
on LF I-LF 
HIV/AIDS OT O 
, OT O 
to OT O 
ensure OT O 
complementarity OT O 
with OT O 
ongoing OT O 
efforts OT O 
by OT O 
humanitarian OT O 
agencies OT O 
to OT O 
deliver OT O 
services OT O 
to OT O 
survivors OT O 
of LF I-LF 
conflict-related OT O 
sexual OT O 
violence OT O 
. OT O 

Moro LF B-LF 
Islamic LF I-LF 
Liberation LF I-LF 
Front LF I-LF 
( OT O 
MILF AN B-AN 
) OT O 
; OT O 
Rebolusyonaryong LF B-LF 
Partidong LF I-LF 
Manggagawa LF I-LF 
ng LF I-LF 
Pilipinas/Revolutionary OT O 
Proletarian OT O 
Army/Alex OT O 
Boncayao OT O 
Brigade OT O 
( OT O 
RPMP-RPA-ABB AN B-AN 
) OT O 
; OT O 
Rebolusyonaryong LF I-LF 
Partidong LF I-LF 
Manggagawa LF I-LF 
ng LF I-LF 
Mindanao LF I-LF 
( OT O 
RPM-M AN B-AN 
) OT O 
; OT O 
and OT O 
Communist OT O 
Party OT O 
of OT O 
the OT O 
Philippines-New OT O 
Peoples OT O 
Army-National OT O 
Democratic OT O 
Front LF I-LF 
( OT O 
CPPNPA-NDF AN B-AN 
) OT O 
. OT O 

Executive OT O 
Boards OT O 
of LF B-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Development OT O 
Programme OT O 
, OT O 
the LF I-LF 
United OT O 
Nations LF I-LF 
Population OT O 
Fund OT O 
and LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Office OT O 
for LF I-LF 
Project OT O 
Services OT O 
, OT O 
of LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Children OT O 
's OT O 
Fund OT O 
and LF I-LF 
of LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women OT O 
) AN B-AN 
There OT O 
will OT O 
be OT O 
a LF I-LF 
joint OT O 
informal OT O 
consultation OT O 
of LF I-LF 
the LF I-LF 
Executive OT O 
Boards OT O 
of LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Development OT O 
Programme OT O 
, OT O 
the LF I-LF 
United OT O 
Nations LF I-LF 
Population OT O 
Fund OT O 
and LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Office OT O 
for LF I-LF 
Project OT O 
Services OT O 
, OT O 
of LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Children OT O 
's OT O 
Fund OT O 
and LF I-LF 
of LF I-LF 
the LF I-LF 
United OT O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women OT O 
) AN I-AN 
, OT O 
on LF I-LF 
the LF I-LF 
lessons OT O 
learned OT O 
from OT O 
the LF I-LF 
common OT O 
country OT O 
programme OT O 
document OT O 
process OT O 
, OT O 
on LF I-LF 
Tuesday OT O 
, OT O 
20 OT O 
December OT O 
2011 OT O 
, OT O 
from OT O 
3 OT O 
to OT O 
6 OT O 
p.m. OT O 
in OT O 
Conference OT O 
Room OT O 
1 OT O 
( OT O 
NLB OT O 
) AN I-AN 
. AN B-AN 

1.4 OT O 
Signing OT O 
of OT O 
`` OT O 
E OT O 
'' OT O 
roads OT O 
( OT O 
a LF B-LF 
) AN B-AN 
The OT O 
letter OT O 
`` OT O 
E OT O 
'' OT O 
and OT O 
the OT O 
numerals OT O 
appearing OT O 
on LF I-LF 
the OT O 
road OT O 
identification OT O 
sign OT O 
prescribed OT O 
in LF I-LF 
Annex OT O 
III OT O 
to OT O 
the OT O 
European OT O 
Agreement OT O 
on LF I-LF 
Main LF I-LF 
International LF I-LF 
Traffic LF I-LF 
Arteries LF I-LF 
( OT O 
AGR OT O 
) AN I-AN 
should OT O 
be OT O 
of OT O 
the OT O 
same OT O 
height OT O 
. OT O 

23 OT O 
. OT O 
The OT O 
Forum OT O 
recommends OT O 
that OT O 
the LF B-LF 
United OT O 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT O 
UN-Women OT O 
) AN I-AN 
and LF I-LF 
the LF I-LF 
bureau OT O 
of LF I-LF 
the LF I-LF 
fifty-seventh OT O 
session OT O 
of LF I-LF 
the LF I-LF 
Commission OT O 
on LF I-LF 
the LF I-LF 
Status OT O 
of LF I-LF 
Women LF I-LF 
include OT O 
indigenous OT O 
women OT O 
as OT O 
experts OT O 
on LF I-LF 
violence OT O 
against OT O 
women OT O 
in OT O 
the LF I-LF 
interactive OT O 
panels OT O 
and LF I-LF 
guarantee OT O 
the LF I-LF 
participation OT O 
of LF I-LF 
indigenous OT O 
women OT O 
in OT O 
the LF I-LF 
process OT O 
of LF I-LF 
preparation OT O 
for LF I-LF 
and LF I-LF 
during OT O 
the LF I-LF 
fifty-seventh OT O 
session OT O 
of LF I-LF 
the LF I-LF 
Commission OT O 
. OT O 

Accordingly OT O 
, OT O 
if OT O 
all OT O 
projects OT O 
approved OT O 
or OT O 
to OT O 
be OT O 
approved OT O 
within OT O 
the OT O 
next OT O 
two OT O 
years OT O 
are OT O 
implemented OT O 
as OT O 
agreed OT O 
, OT O 
Parties OT O 
operating OT O 
under OT O 
Article OT O 
5 OT O 
will OT O 
have OT O 
achieved OT O 
a OT O 
97 OT O 
per OT O 
cent OT O 
reduction OT O 
in OT O 
the OT O 
ODP AN B-AN 
value OT O 
of OT O 
ozone-depleting OT O 
substances OT O 
for OT O 
which OT O 
they OT O 
currently OT O 
have OT O 
baselines OT O 
. OT O 
The OT O 
remaining OT O 
3 OT O 
per OT O 
cent OT O 
is OT O 
almost OT O 
