ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	"Her er der fare for at skabe en monopolsituation inden for demonteringsindustrien. Det gælder specielt i områder inden for EU, hvor afstandene er store, og hvor mange små virksomheder er engageret i demonteringen. 
"	[[123, 125]]	[]	['EU']	[]
2	Medlemsstaterne vil således fremover kunne fjerne den beskatningsmæssige forskelsbehandling af salg af varmeenergi og tilslutning til fjernvarme- og fjernkøleanlæg, der anvender vedvarende energi, og levering af naturgas og elektricitet.  Jeg tilslutter mig fuldt ud ordførerens henstillinger vedrørende anvendelsen af strukturfondene, Samhørighedsfonden og Den Europæiske Landbrugsfond for Udvikling af Landdistrikterne (ELFUL). 	[[422, 427]]	[[362, 420]]	['ELFUL']	['Europæiske Landbrugsfond for Udvikling af Landdistrikterne']
3	"Parlamentet er klar over, hvor vigtigt vi alle sammen synes, at spørgsmålet om gennemsigtighed i konkurrencepolitikken er, og jeg har også personligt haft denne opfattelse lige siden den første dag, jeg var til høring i Udvalget om Økonomi og Valutaspørgsmål, nemlig den 1. september. Hvad angår konkurrencepolitikkens internationale dimension, kan jeg forsikre Dem for, hr. Rapkay, at Kommissionen er villig til at udarbejde en beretning til Parlamentet om dette emne, som også fru Randzio-Plath har henledt vores opmærksomhed på, og jeg kan med hensyn til hvilket sige, at vi har nogle meget tilfredsstillende bilaterale forbindelser med vores kolleger i USA, Canada og Japan, og at vi arbejder på at få indført en egentlig konkurrenceafdeling i Verdenshandelsorganisationen. 
"	[[371, 374], [657, 660]]	[]	['hr.', 'USA']	[]
4	EU kan med sit konstruktive forslag om landbrugsdelen (utallige indrømmelser og en gennemgående reform af den fælles landbrugspolitik) siges at have ydet et livsvigtigt bidrag, som bringer det tættere på en aftale.  Derfor skal disse utallige indrømmelser nu modsvares af fremskridt vedrørende markedsadgang for ikke-landbrugsvarer (NAMA) og tjenesteydelser. 	[[333, 337], [0, 2]]	[[294, 331]]	['NAMA', 'EU']	['markedsadgang for ikke-landbrugsvarer']
5	Spørgsmål nr. 4 af Thomas Megahy (H-0531/96): Om: Uomstødeligheden af medlemskab af EU I et referat af forhandlingerne under regeringskonferencen, som blev forelagt medlemmerne af Europa-Parlamentet den 5. juni 1996 af Guigou (F-PSE) og Brok (D-PPE), fremsattes følgende erklæring: «Med hensyn til spørgsmålet om en medlemsstats gentagne og overlagte krænkelse af menneskerettighederne eller ophør med at være demokratisk er de fleste repræsentanter enige om, at det bør være muligt at benytte sanktioner over for en sådan stat, .... uden dog at gå så vidt som til at ekskludere en medlemsstat, da dette ville underminere princippet om uomstødeligheden af medlemskab«.	[[227, 232]]	[[156, 202]]	['F-PSE']	['forelagt medlemmerne af Europa-Parlamentet den']
6	Jeg forstår, at Irland mener, at den nationale statsstøtteordning skal kompensere besætningsmedlemmer.  Når det så er sagt, og hvis man ser bort fra det endelige ophør, der forbindes med en oplægning, så giver Den Europæiske Fiskerifond (EFF) også mulighed for socioøkonomisk kompensation, diversificering, omskoling og tidlig pensionering. 	[[238, 241]]	[[214, 236]]	['EFF']	['Europæiske Fiskerifond']
7	"Tværtimod tror jeg, man kan sige, at dette krav kun opfyldes, hvis FYROM's forbindelser med alle dets naboer udglattes de jure. Sammen med den nødvendige forbedring af visse aspekter af den interne situation i landet, hvad angår mindretal og demokratiske institutioner, vil dette fuldende det billede af politisk modenhed, som FYROM i øvrigt har fremvist, og som har gjort oprettelsen af tættere forbindelser med vores europæiske familie acceptabel. 
"	[[67, 72], [327, 332]]	[]	['FYROM', 'FYROM']	[]
8	 Om: Ligestillingsstrategi i Kommissionen Kommissionen lancerede den 17. december 2010 en ny strategi for lige muligheder for mænd og kvinder frem til 2014, hvori den fastlagde nye målsætninger for antallet af kvinder i mellem- og toplederstillinger og antallet af kvinder, der skal ansættes i administratorstillinger (AD) i Kommissionens generaldirektorater og tjenestegrene. 	[[319, 321]]	[[294, 317]]	['AD']	['administratorstillinger']
9	Indførelse af en europæisk status for kunstnere, indførelse af lavere momssatser for kulturgoder og forbedring af formidlingen af lovlige digitale tilbud er hensigtsmæssige og vigtige foranstaltninger, der kan sikre EU's internationale kulturelle indflydelse.  I de sidste to årtier har væksten inden for de kulturelle og kreative industrier været eksponentiel med hensyn til jobskabelse og bidraget til medlemsstaternes bruttonationalprodukt (BNP). 	[[444, 447], [216, 218]]	[[421, 442]]	['BNP', 'EU']	['bruttonationalprodukt']
10	Hvis de anvendes som erstatning for en anden fødevare, må de heller ikke udgøre en ernæringsmæssig forringelse.  Efter ordførerens mening er målsætningerne i den nye forordning, hvad angår nye fødevarer, opnåelse af et højt niveau for fødevaresikkerhed, forbrugerbeskyttelse, beskyttelse af miljø og beskyttelse af dyresundheden, samtidig med at der til enhver tid skal tages hensyn til forsigtighedsprincippet, som er fastlagt i Europa-Parlamentets og Rådets forordning (EF) nr. 178/2002 af 28. januar 2002 om generelle principper og krav i fødevarelovgivningen, om oprettelse af Den Europæiske Fødevaresikkerhedsautoritet og om procedurer vedrørende fødevaresikkerhed. 	[[472, 474], [476, 479]]	[]	['EF', 'nr.']	[]
11	"Som jeg gjorde klart ved høringerne i september og andre lejligheder, står vi sammen i overbevisningen om, at det har en værdi at definere de bedst mulige mekanismer til dette formål, selvom vi naturligvis alle håber, at det sjældent vil være nødvendigt. Siden juni sidste år har forordningen om OLAF givet bedre vejledning til personalet omkring indberetningen af eventuelle uregelmæssigheder. 
"	[[296, 300]]	[]	['OLAF']	[]
12	"Man kan ikke lade være med at konkludere, at menings- og ytringsfriheden i stadig højere grad bliver truet, og at man lader hånt om den, og pladsen bliver overtaget af selvcensur og intellektuel terrorisme.  ""Set i lyset af, at Den Europæiske Unions (EU's) forfatningsproces for øjeblikket er sat i bero, anser ordføreren det for at være det rette tidspunkt at markere Europas beskyttelse og fremme af grundlæggende menneskerettigheder."" "	[[251, 253]]	[[232, 248]]	['EU']	['Europæiske Union']
13	LT) Jeg støttede denne betænkning.  Alene i EU afsættes der hvert år anslået 9,3 mio. t elektrisk og elektronisk udstyr (EEE), hvoraf størstedelen er store husholdningsapparater og it- og telekommunikationsudstyr. 	[[121, 124], [0, 2], [44, 46], [81, 85], [181, 183]]	[[88, 119]]	['EEE', 'LT', 'EU', 'mio.', 'it']	['elektrisk og elektronisk udstyr']
14	De har gjort en stor indsats for at stabilisere Vestbalkan og med hensyn til Kosovospørgsmålet, Kroatiens tiltrædelse og ophævelse af visumpligten.  Jeg er især taknemmelig for, at de støttede Ungarns ønske om at være værtsland for Det Europæiske Institut for Innovation og Teknologi (EIT), og jeg vil gerne takke alle de medlemsstater, der støttede vores ønske. 	[[285, 288]]	[[236, 283]]	['EIT']	['Europæiske Institut for Innovation og Teknologi']
15	"I øvrigt sagde De, at vi især bliver nødt til at forstærke kontrollen, både med flagnationen og med klassificeringen af selskaberne. De sagde, at RINA er et italiensk klassifikationsregister, der er kendt af Kommissionen. 
"	[[146, 150]]	[]	['RINA']	[]
16	Dernæst påtager COREPER II sig rollen som aktionsplatform med ansvar for koordineringen af medlemsstaternes indsats eller forberedelse af de beslutninger, der eventuelt skal tages på EU-niveau.  Det væsentligste operationelle redskab udgøres af EU's Fælles Situationscenter (SitCen) i Rådssekretariatet. 	[[275, 281], [16, 23], [183, 185], [245, 247]]	[[257, 273]]	['SitCen', 'COREPER', 'EU', 'EU']	['Situationscenter']
17	for ALDE-Gruppen. - ( EN) Hr. formand! Kommissionens forslag om Verdensfonden for Energieffektivitet og Vedvarende Energi (VFEEVE) hilses naturligvis velkommen. 	[[123, 129], [4, 8], [22, 24], [26, 29]]	[[64, 121]]	['VFEEVE', 'ALDE', 'EN', 'Hr.']	['Verdensfonden for Energieffektivitet og Vedvarende Energi']
18	Formålet med denne beslutning er at tilkendegive Europa-Parlamentets perspektiv på analysen af Kommissionens ”Small Business Act”.  Med denne beslutning støtter Parlamentet således de nye forslag, som skal forbedre små og mellemstore virksomheders (SMV'er) adgang til finansiering og til markeder, og Parlamentet støtter tillige foranstaltninger til fortsat afbureaukratisering gennem forbedret styring og overvågning, smart regulering og øvrige foranstaltninger, såsom SMV-præstationsmålingen. 	[[249, 252], [470, 473]]	[[215, 246]]	['SMV', 'SMV']	['små og mellemstore virksomheder']
19	"Vi kontaktede den rumænske regering og Den Internationale Kommission for Beskyttelse af Donau om ulykken tidligere i denne måned for straks at få flere oplysninger. Rumænerne har henvendt sig til UNEF og OCHA i Genève for at få en vurdering af skaden på Donauområdet fra et uafhængigt internationalt eksperthold. 
"	[[196, 200], [204, 208]]	[]	['UNEF', 'OCHA']	[]
20	"Man skal nemlig sætte skub i en mere aktiv deltagelse fra lokale og regionale myndigheders side i fællesskabsinitiativer, ud fra den betragtning at lokale og regionale myndigheder meget ofte har en meget begrænset samarbejdskapacitet som følge af de forskellige juridiske rammer og de uens udviklingstrin på de respektive sider af én og samme grænse. I forbindelse med samarbejdet hen over grænserne skal det tillægges større betydning at forbedre driftsbetingelserne for små og mellemstore virksomheder, som er dem, der skaber arbejdspladser. 
"	[]	[]	[]	[]
21	Støtte til udvikling af landdistrikterne fra ELFUL - Direkte betalinger inden for den fælles landbrugspolitik (forhandling) Næste punkt på dagsordenen er forhandling under ét om betænkning af Jan Mulder for Udvalget om Landbrug og Udvikling af Landdistrikter om forslag til Rådets forordning om ændring af forordning nr. 1698/2005 om støtte til udvikling af landdistrikterne fra Den Europæiske Landbrugsfond for Udvikling af Landdistrikterne (ELFUL) - C6-0237/2006 - og betænkning af Lutz Goepel for Udvalget om Landbrug og Udvikling af Landdistrikter om forslag til Rådets forordning om regler for frivillig graduering af direkte betalinger som fastsat i forordning (EF) nr. 1782/2003 om fastlæggelse af fælles regler for den fælles landbrugspolitiks ordninger for direkte støtte og om fastlæggelse af visse støtteordninger for landmænd og om ændring af forordning (EF) nr. 1290/2005 - C6-0235/2006 -.	[[443, 448], [45, 50], [317, 320], [668, 670], [867, 869]]	[[383, 441]]	['ELFUL', 'ELFUL', 'nr.', 'EF', 'EF']	['Europæiske Landbrugsfond for Udvikling af Landdistrikterne']
22	"På den ene side skal man være krævende med hensyn til at medtage de sociale rettigheder, miljørettighederne og forbrugerbeskyttelsen i de umiddelbart forestående forhandlinger. Men man skal især på længere sigt have en dristig og ambitiøs vision om en reform, ikke kun af WTO men også af IAO, FN og ikke mindst af de finansielle institutioner, nærmere bestemt IMF og Verdensbanken. 
"	[[272, 275], [288, 291], [293, 295], [360, 363]]	[]	['WTO', 'IAO', 'FN', 'IMF']	[]
23	Derfor støtter jeg EU-støtte til en sektor, der er af central betydning for relanceringen af den irske og den europæiske økonomi.  Irlands ansøgning om anvendelse af Den Europæiske Fond for Tilpasning til Globaliseringen (EGF) for 850 afskedigelser på virksomheden ST Technics Irland Ltd opfylder alle kriterier for støtteberettigelse i lovgivningen. 	[[222, 225], [19, 21], [265, 267], [284, 287]]	[[170, 220]]	['EGF', 'EU', 'ST', 'Ltd']	['Europæiske Fond for Tilpasning til Globaliseringen']
24	"Med retorikken i betænkningen søger man at dække over dens virkelige hensigt, og påstanden om at formålet er at styrke ""en social markedsøkonomi med høj konkurrenceevne, hvor der tilstræbes fuld beskæftigelse og sociale fremskridt, og et højt niveau for beskyttelse og forbedring af miljøkvaliteten"" er symptomatisk.  Den er fuld af modsigelser og demagogi, idet det også nævnes, at ""virksomheder, navnlig [små og mellemstore virksomheder] (SMV'er), og europæere"" vil blive sat ""i centrum for det indre marked"". "	[[441, 444]]	[[407, 438]]	['SMV']	['små og mellemstore virksomheder']
25	Den genforenede Tyskland er det økonomiske kraftværk blandt EU's 27 lande.  For blot at nævne ét tal står Tyskland for 25 % af det samlede BNP i Den Økonomiske og Monetære Union (ØMU). 	[[179, 182], [60, 62], [139, 142]]	[[149, 177]]	['ØMU', 'EU', 'BNP']	['Økonomiske og Monetære Union']
26	De forskellige programmer - Learning, Leonardo, Socrates osv. - i aktiv forening kommer til at indskrænke den enkelte medlemsstats og de enkelte uddannelsesinstitutions manøvremuligheder og myndighed og gør det egentlige uddannelsesmål til noget sekundært eller til blot et middel, der skal tjene andre formål.  Jeg takker Mario Mauro for forslaget til lovgivningsmæssig beslutning om Rådets fælles holdning med henblik på vedtagelse af Europa-Parlamentets og Rådets afgørelse om vedtagelse af et flerårigt program (2004-2006) for effektiv integrering af informations- og kommunikationsteknologi (IKT) i uddannelses- og erhvervsuddannelsessystemerne i Europa (Learning-programmet), som jeg støtter, ikke mindst fordi det er meget vigtigt at tilskynde til integrering af de nye informations- og telekommunikationsteknologier inden for de europæiske undervisnings- og uddannelsessystemer og dermed forbedre deres kvalitet og adgangen til dem. 	[[597, 600], [57, 61]]	[[555, 595]]	['IKT', 'osv.']	['informations- og kommunikationsteknologi']
27	 Fru formand! Disse aftaler om retshåndhævelse, god forvaltningspraksis og handel på skovbrugsområdet (FLEGT) vedrørende Congo og Cameroun, som vi skal stemme om i morgen, er vigtige europæiske redskaber eller våben i kampen mod ulovlig skovhugst, og jeg hilser dem derfor velkommen. 	[[103, 108]]	[[48, 101]]	['FLEGT']	['god forvaltningspraksis og handel på skovbrugsområdet']
28	Den opdaterede vurdering afspejler de betydningsfulde og velkomne skridt, Kina har taget i retning af at blive en markedsorienteret økonomi.  Der blev konstateret fremskridt over hele linjen, og det har bragt Kina nærmere en opfyldelse af de fire manglende kriterier for opnåelse af markedsøkonomistatus (MES). 	[[305, 308]]	[[283, 303]]	['MES']	['markedsøkonomistatus']
