ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	the World Food Programme 1. In its decision 2002/4 of 5 February 2002, the Executive Board of the United Nations Development Programme (UNDP) and of the United Nations Population Fund (UNFPA) took note of the reports to the Economic and Social Council (DP/2002/7 and DP/FPA/2002/1). 	[[136, 140], [185, 190]]	[[98, 134]]	['UNDP', 'UNFPA']	['United Nations Development Programme']
2	These legal transport systems in Europe constitute useful models, which can be adapted in developing countries.  Economic Commission for Latin America and the Caribbean (ECLAC)The full text of the reply has been issued in UNCTAD/LDC/Misc.28 The Economic Commission for Latin America and the Caribbean (ECLAC) supports South America's two landlocked countries - Bolivia and Paraguay - in their efforts to improve transport and customs transit facilities across neighbouring countries for access to seaports.	[[170, 175], [302, 307], [222, 228], [229, 232], [233, 237]]	[[113, 168], [245, 300]]	['ECLAC', 'ECLAC', 'UNCTAD', 'LDC', 'Misc']	['Economic Commission for Latin America and the Caribbean', 'Economic Commission for Latin America and the Caribbean']
3	As a final word of caution against approaches that neglect human rights, the Marangopoulos Foundation would like to underscore its dismay at attempts, in the current socio-economic environment, to erode the gains achieved through gender-based affirmative action.  It therefore strongly supports the stance of the Executive Director of the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women), Under-Secretary-General Michelle Bachelet, in encouraging countries to resort to or preserve quotas to enhance women's participation in politics. 	[[411, 419]]	[[339, 409]]	['UN-Women']	['United Nations Entity for Gender Equality and the Empowerment of Women']
4	Calls upon Governments, civil society, including the media, and nongovernmental organizations to promote human rights education and full respect for and the enjoyment of the human rights of the girl child, inter alia, through the translation, production and dissemination of ageappropriate and gendersensitive information material on those rights to all sectors of society, in particular to children; 38. Requests the SecretaryGeneral, as Chair of the United Nations System Chief Executives Board for Coordination, to ensure that all organizations and bodies of the United Nations system, individually and collectively, in particular the United Nations Children's Fund, the United Nations Educational, Scientific and Cultural Organization, the World Food Programme, the United Nations Population Fund, the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), the World Health Organization, the United Nations Development Programme, the Office of the United Nations High Commissioner for Refugees and the International Labour Organization, take into account the rights and the particular needs of the girl child in country programmes of cooperation in accordance with national priorities, including through the United Nations Development Assistance Framework; 39.	[[878, 885]]	[[806, 876]]	['UNWomen']	['United Nations Entity for Gender Equality and the Empowerment of Women']
5	Grand total 30 320a Abbreviations: AOS = administrative and operational services; GEF = Global Environment Facility; SPPD = support for policy and programme development; STS = support for technical services; TRAC = target for resource assignment from the core; and UNCDF = United Nations Capital Development Fund. 	[[35, 38], [82, 85], [117, 121], [170, 173], [208, 212], [265, 270]]	[[41, 80], [88, 115], [176, 206], [215, 259], [273, 312], [124, 168]]	['AOS', 'GEF', 'SPPD', 'STS', 'TRAC', 'UNCDF']	['administrative and operational services', 'Global Environment Facility', 'support for technical services', 'target for resource assignment from the core', 'United Nations Capital Development Fund', 'support for policy and programme development']
6	The work would contribute to the preparations for the ministerial conference of the World Trade Organization (WTO), due to be held in November/December 1999, only a few months before UNCTAD X, since many of the issues related to the Positive Agenda were relevant to the work of WTO.  The work had included the organization of two ad hoc expert meetings and the preparation of the studies presented at those meetings, at which other organizations, notably WTO, the World Bank and the International Trade Centre UNCTAD/WTO (ITC), had taken a full part. 	[[522, 525], [110, 113], [183, 191], [278, 281], [330, 336], [455, 459], [517, 520], [510, 517]]	[[483, 509], [84, 108]]	['ITC', 'WTO', 'UNCTAD X', 'WTO', 'ad hoc', 'WTO,', 'WTO', 'UNCTAD/']	['International Trade Centre', 'World Trade Organization']
7	 12. This report is drafted with the input of relevant Government Institutions and Non - Governmental Organizations (NGO'S). 	[[117, 122]]	[[83, 115]]	"[""NGO'S""]"	['Non - Governmental Organizations']
8	Medicine, Dentistry Economics and Management science Technical Institutes (IUT's) Material and structural sciences	[[75, 80]]	[]	"[""IUT's""]"	[]
9	 6. The Consumer Price Index for All Urban Consumers (CPI-U), the headline American CPI, estimates price change for the non-institutional urban population. 	[[54, 59], [84, 87]]	[[8, 52]]	['CPI-U', 'CPI']	['Consumer Price Index for All Urban Consumers']
10	In 2007, UIRR unaccompanied road-rail transport (containers, swap-bodies and semi-trailers) has risen by 10 per cent to reach 2.56 million consignments.  Accompanied road-rail transport (Rolling Highway (RoLa)) increased by around 2 per cent and reached 390.000 consignments. 	[[204, 208], [9, 13]]	[[187, 202], [14, 47]]	['RoLa', 'UIRR']	['Rolling Highway', 'unaccompanied road-rail transport']
11	WTO EUROSTAT: Committee: Trading of Goods - Intrastat/Extrastat (joint with EDICOM - Electronic Data Interchange for the Commission), 13-15 November 2002 (+ 3 times a year in March, June and November) EUROSTAT: Working Group: EDICOM Information & Communication Technology (EDICOM-ITC), 14-15 October 2002 (+ twice a year in February and October) OECD: Trade Indicators Roundtable, 2002	[[273, 283], [4, 12], [0, 3], [76, 82], [346, 350]]	[[226, 271], [85, 132]]	['EDICOM-ITC', 'EUROSTAT', 'WTO', 'EDICOM', 'OECD']	['EDICOM Information & Communication Technology', 'Electronic Data Interchange for the Commission)']
12	Hayes Alto Paraguay MA = Medical attendance present No MA = No medical attendance present	[[20, 22], [52, 57]]	[[25, 43], [60, 81]]	['MA', 'No MA']	['Medical attendance', 'No medical attendance']
13	21).  The group of volunteers was asked to consider possible incorporation of this part of the Russian proposal into the draft amended text of chapter 10B (TRANS/SC.3/WP.3/AC.2/2000/1/Add.1) taking into account provisions in force within the Central Commission for the Navigation of the Rhine (CCNR) and the Danube Commission as reflected in TRANS/SC.3/WP.3/R.28 and Corr.1 and in TRANS/SC.3/WP.3/R.68. 	[[294, 298], [156, 164], [184, 189], [167, 171], [171, 176], [342, 350], [367, 373], [353, 357], [358, 362]]	[[242, 292]]	['CCNR', 'TRANS/SC', 'Add.1', 'WP.3', '/AC.2', 'TRANS/SC', 'Corr.1', 'WP.3', 'R.28']	['Central Commission for the Navigation of the Rhine']
14	"Notes that paragraph 48 of the gender equality strategy will be replaced by the following paragraph: ""All country offices will present a plan to ensure they have the necessary gender expertise for their specific programme and country context, noting that offices with a portfolio over $25 million (at current funding levels, 40 country offices) would be expected to have a dedicated gender adviser in their office or equivalent dedicated capacity, bearing in mind that resource allocation is done on the basis of the United Nations Development Assistance Framework in consultation with the programme country.  Country offices will be encouraged to explore with partner agencies, in particular with the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women), opportunities to leverage their expertise.""; "	[[774, 782]]	[[702, 772]]	['UN-Women']	['United Nations Entity for Gender Equality and the Empowerment of Women']
15	"22).]  UNU Midday Forum on ""Environment and migration in the Caribbean"" (organized by the United Nations University Office in New York (UNU-ONY)) From 1.15 to 2.30 p.m. in Conference Room 7 (NLB)."	[[136, 143], [7, 10], [164, 168], [191, 194]]	[[90, 134]]	['UNU-ONY', 'UNU', 'p.m.', 'NLB']	['United Nations University Office in New York']
16	Calls upon States, the United Nations system, civil society and all stakeholders to continue to observe 6 February as the International Day of Zero Tolerance for Female Genital Mutilation and to use the day to enhance awareness-raising campaigns and to take concrete actions against female genital mutilations; 22. Requests the SecretaryGeneral to ensure that all relevant organizations and bodies of the United Nations system, in particular the United Nations Population Fund, the United Nations Children's Fund, the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), the World Health Organization, the United Nations Educational, Scientific and Cultural Organization, the United Nations Development Programme and the Office of the United Nations High Commissioner for Human Rights, individually and collectively, take into account the protection and promotion of the rights of women and girls against female genital mutilations in their country programmes, as appropriate and in accordance with national priorities, in order to further strengthen their efforts in this regard; 23.	[[590, 597]]	[[518, 588]]	['UNWomen']	['United Nations Entity for Gender Equality and the Empowerment of Women']
