ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	92\]. This selective approach led to significant  results in some restricted applications (ATIS...). 	[[91, 98]]	[[77, 89]]	['ATIS...']	['applications']
2	We conduct a case study of dialectal language in online conversational text by investigating African-American English (AAE) on Twitter.	[[119, 122]]	[[93, 117]]	['AAE']	['African-American English']
3	 An arguably better approach to representation learning is Canonical Correlation Analysis (CCA) that induces representations that are maximally cor-	[[91, 94]]	[[59, 89]]	['CCA']	['Canonical Correlation Analysis']
4	23-28, 1992   Proceedings of NAACL-HLT 2015 Student Research Workshop (SRW), pages 110?117, Denver, Colorado, June 1, 2015.	[[71, 74], [29, 38]]	[[44, 69]]	['SRW', 'NAACL-HLT']	['Student Research Workshop']
5	itly mark objects of prepositions (POBJ), possessors in idafa construction (IDAFA), conjuncts (CONJ) and conjunctions (CC), and the accusative specifier, tamyiz (TMZ).	[[119, 121], [35, 39], [76, 81], [95, 99], [162, 165]]	[[105, 117], [10, 33], [56, 74], [84, 93], [154, 160]]	['CC', 'POBJ', 'IDAFA', 'CONJ', 'TMZ']	['conjunctions', 'objects of prepositions', 'idafa construction', 'conjuncts', 'tamyiz']
6	The metrics Precision (P), Recall (R),  F-score (F) (F=2PR/(P+R)), Recall of OOV  (ROOV) and Recall of IV (RIV) are used to  evaluate the results.	[[107, 110], [83, 87]]	[[93, 105], [12, 21], [27, 33], [40, 47], [67, 80]]	['RIV', 'ROOV']	['Recall of IV', 'Precision', 'Recall', 'F-score', 'Recall of OOV']
7	158  I. CONSTRUCT THE PROPOSED ANCHORS for Un  (a) Create set of referring expressions (RE's). 	[[88, 92]]	[[65, 86]]	"[""RE's""]"	['referring expressions']
8	Hong Kong Laws, Sinorama, Xinhua News, and English translation of Chinese Treebank), available from the Linguistic Data Consortium (LDC). To	[[132, 135]]	[[104, 130]]	['LDC']	['Linguistic Data Consortium']
9	uation test sets. Equal Error Rates (EER), where FA = FR, are given in Table 5. Results on EVAL	[[54, 56], [37, 40], [49, 51], [91, 95]]	[[18, 35]]	['FR', 'EER', 'FA', 'EVAL']	['Equal Error Rates']
10	Draw Team (DT_DT); Team ? Competition (TM_CP); Team ? City / Province / Country 	[[39, 44], [11, 16]]	[[33, 37], [0, 9]]	['TM_CP', 'DT_DT']	['tion', 'Draw Team']
11	syntactic skeleton defined in Eq. 1, namely, Subject(S), Verb(V), Direct Object(DO), Indirect Object(IO), Preposition(P) and Noun(Object) of the Preposition(N).	[[80, 82], [101, 103]]	[[66, 78], [85, 99], [45, 52], [57, 61], [106, 117]]	['DO', 'IO']	['Direct Objec', 'Indirect Objec', 'Subject', 'Verb', 'Preposition']
12	Constant 5.23 1.18 19.67 <0.000* 187.25 ADAG, n=242; HAG, n = 242; S.E = standard error; OR = Odds ratio or Exp(?); CI = confidence Interval. 	[[116, 118], [89, 91], [53, 56]]	[[121, 140], [94, 104]]	['CI', 'OR', 'HAG']	['confidence Interval', 'Odds ratio']
