ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	VANET نوع خاصی از MANE  ها هستند . در این مقاله پروتکل های موجود که مسیریابی را فراهم می کنند معرفی می شوند . پروتکل هایی که در این بخش هی آتی شرح داده می شوند عبارتند از : WTR [ 5 ] , AODV [ 5 ] و SRB [ 5 ] و DRVS [ 5 ] و GVGRID [ 5 ] و DOLPHIN [ 5 ] و DSR [ 4 ] و SADV [ 4 ] هدف اصلی در این روش ها فراهم کردن امنیت مسیر است [ 5 ] .	[[0, 5], [18, 22], [173, 176], [185, 189], [198, 201], [210, 214], [223, 229], [254, 257], [266, 270]]	[]	['VANET', 'MANE', 'WTR', 'AODV', 'SRB', 'DRVS', 'GVGRID', 'DSR', 'SADV']	[]
2	‫ ‪ ASBR ‬‬ ‫ دهد تا بهترین مسیر خارجی را انتخاب کند ‪ . ‬ منطق ‪ ،‬ بسته به نوع سوال مسیریاب از یک ناحیه مشابه مثل ‬ ‫ ( ناحیه میانی ) یا یک ناحیه متفاوت ( میان ناحیه ) فرق دارد ‪ ،‬ که در دو بخش پایین مورد بحث قرار خواهد گرفت ‪ .‬‬	[[4, 8]]	[]	['ASBR']	[]
3	به هر حال ، مخلوط 2 / N6 SF موضوعي هستند به تأثير شديد بر روي رساناي ذره با افزايش فشار گاز ، بعلاوه كاهش مقدار 6 SF است . بنابراين مطالعه حاضر مقايسه مشخصه هاي شكست اين گازها و مخلوط آنها در مورد سطوح مرزي تميز همچون آلودگي ذره ايي مي باشد . نتايج :	[]	[]	[]	[]
4	‫در حال بازتوزیع از فرایند ‪ OSPF2 ‬ به سمت ‪ ELGRP ASS ‬ را فیلتر می کنند ‪ . ‬ مسیرهایی که در جدول ‪ 1 - 3 ‬ وجود ‬ ‫ندارند اما در شکل ‪ 1 - 1 ‬ آمده اند باید بازتوزیع شوند ‪ .‬‬	[[29, 34], [52, 55], [46, 51]]	[]	['OSPF2', 'ASS', 'ELGRP']	[]
5	‫ﺷﮑﻞ‪ : 2 - 4 ‬ ﺗﻌﺪاد ﮔﺮهﻫﺎﯾﯽ درﺧﻮاﺳﺖﻫﺎي ﮐﺎرﺑﺮان ﺑﻪ آنﻫﺎ ﻓﺮﺳﺘﺎده ﻣﯽﺷﻮﻧﺪ ) ‪ . ( Khanli , 2011 ‬‬ ‫در ﺷﺒﯿﻪﺳﺎزي ﺳﻮم ‪ ،‬ﻣﺎ اﯾﻦ ﺑﺎر ﻣﺠﻤﻮع ﺗﻌﺪاد ﮔﺮهﻫـﺎي ﻣﻼﻗـﺎت ﺷـﺪه در دو روش ‪ FRDT ‬ و ‪ Tree method ‬ را در ‬	[[173, 177]]	[]	['FRDT']	[]
6	از دیگر ویژگی‌های متمایز این نسخه سیستم ‌عامل ، می‌توان به پشتیبانی از نقاط دسترسی ( Hotspot ) و قابلیت پیشرفته‌ی کپی / چسباندن آن اشاره کرد . گوگل همچنین صفحه سنتی قفل PIN را در این نسخه ارائه نمود و بدین ترتیب کاربرانی که شیوه قفل الگویی اندروید ( Pattern lock ) را دوست نداشتند یا بنا به مقتضیات سیاست‌های کاری شرکت متبوعشان لازم بود تا از شیوه‌ای ایمن‌تر استفاده کنند ، می‌توانستند از این شیوه‌ی سنتی بهره ببرند . از نظر کلی از نسخه 2 . 2 به بعد گوگل کوشید تا گوشی‌های مجهز به اندروید را به گونه‌ای آماده سازی نماید که بتوان از آن در محیط‌های شرکتی به عنوان ابزار کار بهره بُرد ، تا بدین ترتیب با گوشی‌های بلک‌بری به رقابت بپردازد .	[[169, 172]]	[[155, 168]]	['PIN']	['صفحه سنتی قفل']
7	3 . اجبار استفاده در همان باند مشخص شده 2 - 1 - 11 - 4 - سیستم های رادیویی UHF / VHF طبق تقسیم بندی فرکانس ها از 300 MHZ تا 328 .6 MHZ برای باند VHF و 328 .6 MHZ تا 209 GHZ برای باند UHF در نظر گرفته شده است کار دراین سیستم نیاز به مجوز می باشد و دامنه کاری انها تا 30 KM می باشد با توجه به نیاز به اخذ مجوز جهت هر فرکانس کاری حداکثر تا سی پست را می توان با یک فرکانس به روش POLLING جمع اوری نمود رادیو با باند VHF در مقایسه با باند UHF به تلفات کم  کابرد بیشتری دارد ولی در هردو ترافیک موجود بوده و امکان تداخل نیز وجود دارد باند UHF دارای شرایط نویزی بوده و دامنه ارسال ان کوچک بوده البته بیشتر شرکت های برق منطقه ای در ایران برای نیاز مخابراتی مدیریتی اداری و عملیاتی از باند فرکانسی VHF برای ارتباطات ثابت و سیار استفاده می نمایند	[[75, 78], [81, 84], [117, 120], [131, 134], [145, 148], [158, 161], [169, 172], [183, 186], [269, 271], [411, 414], [433, 436], [531, 534], [687, 690]]	[]	['UHF', 'VHF', 'MHZ', 'MHZ', 'VHF', 'MHZ', 'GHZ', 'UHF', 'KM', 'VHF', 'UHF', 'UHF', 'VHF']	[]
8	در سكشنالايزر RL - Series كه درون آن با گاز SF6 پر شده است و از دو طرح و ساختار تشكيل شده است . كه محفظه‌ي انتقال و كنترل و حفاظت آن نيز شبيه به N - Series است .	[[14, 16]]	[]	['RL']	[]
9	DWH داده‌های ديگری به نام داده‌های اشتقاق يافته ( derived data ) دارد . اين داده‌ها به طور صريح در منابع عملياتي ذخيره نمي‌شوند ، بلكه در حين بعضي از فرايندها از داده‌های عملياتي ، اشتقاق مي‌يابند . برای مثال داده‌های فروش را مي‌توان در سطوح مختلف ( هفتگي ، ماهانه ، فصلي ) در انبار ذخيره نمود .	[[0, 3]]	[]	['DWH']	[]
10	5 - 5 - توپولوژی بر مبنای RTU 107 6 - 5 - توپولوژی غیر متمرکز 107 6 - 5 - پروتکل های ارتباطی 108	[[26, 29]]	[]	['RTU']	[]
