ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	En el Anexo1 se describen las investigaciones que se han hecho sobre las acusaciones de abusos cometidos contra personas detenidas bajo el control de las Fuerzas Armadas de los Estados Unidos en el Afganistán, el Iraq y la Bahía de Guantánamo (Cuba), así como sobre las medidas adoptadas para que los miembros de las Fuerzas Armadas rindan cuentas ante el sistema de justicia militar cuando se les considere culpables de haber cometido actos delictivos (véase el Anexo 1).  El Inspector General de la Agencia Central de Inteligencia (CIA) está examinando las denuncias sobre las actividades de los servicios de inteligencia. 	[[534, 537]]	[[501, 532]]	['CIA']	['Agencia Central de Inteligencia']
2	"En la cárcel de Battambang se dictó una conferencia para 25 guardianes sobre la Convención contra la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes.  En cooperación con el Instituto Khmer para la Democracia (IKD), organización no gubernamental, se dictaron unas conferencias sobre ""¿Qué son los derechos humanos?"" y la Convención sobre los Derechos del Niño para las autoridades locales, la policía y los maestros."	[[225, 228]]	[[189, 223]]	['IKD']	['Instituto Khmer para la Democracia']
3	2.1 Derecho penal relativo a los menores de edad 412. La nueva Ley federal sobre el procedimiento penal aplicable a los menores de edad (PMin) dispone que los menores de edad deben estar separados de los adultos durante la prisión provisional, de manera que se ha podido retirar la reserva relativa al artículo 10, párrafo 2 b), del Pacto Internacional de Derechos Civiles y Políticos, que se refiere a la separación de los menores de edad y de los adultos procesados. 	[[137, 141]]	[[84, 135]]	['PMin']	['procedimiento penal aplicable a los menores de edad']
4	Entre los asociados sugeridos figuraban proveedores de servicios de apoyo a las empresas, asociaciones de la industria, agentes de las finanzas del carbono e instituciones de los sectores de la financiación, la capacitación, los estudios de mercado y la investigación tecnológica.  La Oficina de las Naciones Unidas de Servicios para Proyectos (UNOPS) ofreció sus iniciativas en materia de infraestructura con baja emisión de carbono y adquisición sostenible, en particular un sistema de préstamos relacionados con el mecanismo para un desarrollo limpio y un programa de pequeñas donaciones. 	[[345, 350]]	[[309, 343]]	['UNOPS']	['Unidas de Servicios para Proyectos']
5	En el anexo a la presente nota se presenta la opinión jurídica de la Oficina de Asuntos Jurídicos de las Naciones Unidas sobre los arreglos apropiados que podrían concertarse entre la Conferencia de las Partes y el FMAM.  La opinión jurídica se basa en el instrumento constitutivo del FMAM reestructurado, que fue aceptado por los participantes en el FMAM en Ginebra el 16 de marzo de 1994 y posteriormente aprobado por el Programa de las Naciones Unidas para el Desarrollo (PNUD), el Programa de las Naciones Unidas para el Medio Ambiente (PNUMA) y el Banco Mundial. 	[[475, 479], [541, 546], [285, 289], [215, 219], [351, 355]]	[[423, 473], [485, 539]]	['PNUD', 'PNUMA', 'FMAM', 'FMAM', 'FMAM']	['Programa de las Naciones Unidas para el Desarrollo', 'Programa de las Naciones Unidas para el Medio Ambiente']
6	Recordando todos los acuerdos relativos al estatuto de las fuerzas que figuran en el apéndice B del anexo 1-A del Acuerdo de Paz, y recordando a las partes su obligación de seguir cumpliendo esos acuerdos, Recordando también las disposiciones de su resolución 1551 (2004) relativas a la aplicación provisional de los acuerdos sobre el estatuto de las fuerzas que figuran en el apéndice B del anexo 1-A del Acuerdo de Paz, Poniendo de relieve su agradecimiento al Alto Representante, al Comandante y al personal de la fuerza multinacional de estabilización (EUFOR ALTHEA), al Representante Militar Superior y al personal del cuartel general de la Organización del Tratado del Atlántico Norte (OTAN) en Sarajevo, a la Organización para la Seguridad y la Cooperación en Europa (OSCE), a la Unión Europea y al personal de otras organizaciones y otros organismos internacionales en Bosnia y Herzegovina por su contribución a la aplicación del Acuerdo de Paz, Poniendo de relieve que el regreso general y coordinado de los refugiados y los desplazados en toda la región sigue siendo crucial para lograr una paz duradera,	[[692, 696], [775, 779]]	[[646, 690], [716, 773]]	['OTAN', 'OSCE']	['Organización del Tratado del Atlántico Norte', 'Organización para la Seguridad y la Cooperación en Europa']
7	 17. La Sra. Naoko Ishii, Funcionaria Ejecutiva Principal y Presidenta del Fondo para el Medio Ambiente Mundial (FMAM), subrayó la necesidad de romper con las estructuras tradicionales y expresó su satisfacción por la oportunidad de debatir los aspectos económicos de la degradación de las tierras en ese evento. 	[[113, 117]]	[[75, 111]]	['FMAM']	['Fondo para el Medio Ambiente Mundial']
8	El nuevo acuerdo concertado en apoyo del nuevo arreglo de tres años del Pakistán en el marco del Servicio para el Crecimiento y la Lucha contra la Pobreza con el FMI sentó un precedente ya que la reprogramación se aplica a la suma total de la deuda pendiente con anterioridad a la fecha límite y entraña una prolongación sustancial del plazo de reembolso, mucho más allá de las condiciones corrientes de Houston.  En abril de 2002, Indonesia -- como el Pakistán, un país de bajos ingresos que puede conseguir financiamiento combinado del Banco Internacional de Reconstrucción y Fomento (BIRF) y la AIF -- , obtuvo las condiciones corrientes de Houston, aunque en forma más favorable que con arreglo a los dos acuerdos previos concertados con sus acreedores oficiales después de la crisis de Asia oriental. 	[[587, 591], [598, 601], [162, 165]]	[[538, 585]]	['BIRF', 'AIF', 'FMI']	['Banco Internacional de Reconstrucción y Fomento']
9	 12. Visto el punto 12 del orden del día, sobre la no injerencia de los Estados extranjeros y Misiones Diplomáticas acreditadas en Guinea Ecuatorial en los procesos de participación y oposición políticas, y habiendo sido objeto de intensos y largos debates, con argumentos y contraargumentos en defensa de las tesis mantenidas por una parte, la Delegación Gubernamental, el Partido Democrático de Guinea Ecuatorial (P.D.G.E.) y el partido Convención Liberal Democrática (C.L.D.), y, por otra parte, el resto de los Partidos Políticos; las partes negociadoras han adoptado el Acuerdo de NO ACUERDO sobre este punto. 	[[416, 424], [471, 477]]	[[374, 414], [439, 469]]	['P.D.G.E.', 'C.L.D.']	['Partido Democrático de Guinea Ecuatorial', 'Convención Liberal Democrática']
10	 11. En respuesta a un informe dado a conocer por la British Broadcasting Corporation (BBC) en mayo de 2010, en el que se indicaba que unos 3.500 refugiados ghaneses habían llegado al Togo tras un conflicto étnico producido en el norte de Ghana, el Gobierno del país ha enviado una misión de evaluación integrada por representantes de numerosos organismos de las Naciones Unidas y funcionarios ghaneses, con el objeto de determinar si había tenido lugar algún desplazamiento. 	[[87, 90]]	[[53, 85]]	['BBC']	['British Broadcasting Corporation']
