ID	text	acronyms	long-forms	acronyms-text	long-forms-text
1	• Đổi chỗ 𝜇𝑘 và 𝑥𝑛 , gán lại cụm cho các quan sát . Tính giá trị hàm lỗi L • Nếu hàm lỗi không giảm thì hủy bỏ thao tác đổi chỗ .	[]	[]	[]	[]
2	Tổng quan về SSL Khái niêm Trước tiên , đồ án sẽ trình bày một số khái niệm về SSL ở trên mạng rồi mới phân	[[13, 16], [79, 82]]	[]	['SSL', 'SSL']	[]
3	Đầu vào : Dòng dữ liệu với các minibatch { D1 , D2 , ... , Dt , ... } , các tham số drop rate dr , phương sai σ 2 Đầu ra : Biến toàn cục β	[]	[]	[]	[]
4	Bayes , trong đó mỗi node trong mạng đại diện cho từng cấu trúc ngữ nghĩa ẩn của tập văn bản được sinh ra đó . Cụ thể LDA giả sử rằng mỗi văn bản d là	[[118, 121]]	[]	['LDA']	[]
5	LDA có thể không hoạt động tốt đối với các văn bản ngắn do sự thưa thớt dữ liệu . Mô hình chủ đề Biterm ( BTM ) học các chủ đề bằng cách mô hình hóa các cặp từ	[[0, 3], [106, 109]]	[]	['LDA', 'BTM']	[]
6	cho 𝜎𝑖 . Hard Attention to the Task ( HAT ) ( Joan Serra , 2018 ) xác định độ quan trọng của nơron thông qua cơ chế hard attention trên nơ-ron sau mỗi tầng . Tại mỗi tầng của mạng sẽ thêm vào một tầng task - embedding , được huấn luyện cùng với mạng nhờ sự hỗ trợ của một kỹ	[[38, 41]]	[]	['HAT']	[]
7	Chú ý rằng khi suy diễn , X l được nhân với µl . X̃i = Xi ∗ µi ∗ I [ pi < thresh ] ,	[]	[]	[]	[]
8	( MLM ) đều được huấn luyện không giám sát , chỉ yêu cầu dữ liệu đơn ngữ và không tận dụng được dữ liệu song ngữ có sẵn . Mô hình ngôn ngữ dịch ( TLM ) giúp cải	[[2, 5], [146, 149]]	[[122, 143]]	['MLM', 'TLM']	['Mô hình ngôn ngữ dịch']
9	Công thức tường minh của đại lượng KL trong 3.14 khi xét các wij độc lập nhau :  L	[[35, 37]]	[]	['KL']	[]
10	bag-of-words : wd = { wd1 , wd2 , ... , wdNd } trong đó wdn là từ thứ n trong dãy các từ của văn bản d . • Tập văn bản bao gồm M văn bản được ký hiệu bởi D = { w1 , w2 , ... , wM }	[]	[]	[]	[]
11	Sinh viên thực hiện : Nguyễn Thế Linh – 20142585 – K59 – Lớp CNTT – TT 2.03 49 in short	[[61, 70]]	[]	['CNTT – TT']	[]
12	là việc biểu diễn ẩn đấy còn giữ được một số thông tin nhất định từ đầu vào , hay nói cách khác , nếu ta xem X là dữ liệu , Y là một biểu diễn ẩn nào đó mà ta tìm được , thì việc tìm ra một ánh xạ q tốt từ X đến Y được đưa về nghiệm của bài	[]	[]	[]	[]
13	Mô hình đề xuất ITE - onehot . . . . .	[[16, 19]]	[]	['ITE']	[]
14	Điểm BLEU của các mô hình học đối ngẫu sử dụng nhiễu . . . . . . . . . . 44	[[5, 9]]	[]	['BLEU']	[]
15	• So sánh các mô hình qua các vòng lặp với các k khác nhau ( a ) HR @ 10	[[65, 67]]	[]	['HR']	[]
16	Tối ưu hàm mất mát : Khi cố định P , việc tối ưu Q được đưa về bài toán tối ưu hàm	[]	[]	[]	[]
17	Tóm lại , bài toán học mô hình LDA chính là việc ước lượng các biến ẩn khi đã biết các từ của các văn bản . Dưới lý thuyết Bayesian , công việc này chính là	[[31, 34]]	[]	['LDA']	[]
18	Tài liệu tham khảo Sinh viên thực hiện : Nguyễn Văn Sơn , 20143863 , K59 , Lớp KSTN - CNTT 66	[[79, 90]]	[]	['KSTN - CNTT']	[]
19	i=1 ( 37 ) Sinh viên thực hiện : Nguyễn Văn Sơn , 20143863 , K59 , Lớp KSTN - CNTT	[[71, 82]]	[]	['KSTN - CNTT']	[]
20	với phân phối tiên nghiệm sẽ được lựa chọn . Trong phương pháp đề xuất 𝑠𝑡 , 𝑚𝑑 có thể tùy biến lựa chọn từ các phân phối dạng khác chứ không hạn chế như trong VD	[[159, 161]]	[]	['VD']	[]
21	M Sỗ lượng người dùng N	[]	[]	[]	[]
22	False Negative ( FN ) : Không phát hiện được ground truth True Negative ( TN ) : Không được sử dụng trong bài toán này . Trong nhiệm vụ	[[17, 19], [74, 76]]	[]	['FN', 'TN']	[]
