-DOCSTART- -X- O

12 OT B-O 
) OT B-O 
. OT B-O 
; OT B-O 
Terms OT B-O 
of OT B-O 
reference OT B-O 
A OT B-O 
Correspondence OT B-O 
Group OT B-O 
coordinated OT B-O 
by OT B-O 
the OT B-O 
expert OT B-O 
of OT B-O 
the OT B-O 
United OT B-O 
Kingdom OT B-O 
, OT B-O 
and OT B-O 
including OT B-O 
representatives OT B-O 
of OT B-O 
affected OT B-O 
industries OT B-O 
and OT B-O 
users OT B-O 
of OT B-O 
intermediate LF B-LF 
bulk LF I-LF 
containers LF I-LF 
( OT B-O 
IBC AN B-AN 
's AN I-AN 
) OT B-O 
, OT B-O 
shall OT B-O 
examine OT B-O 
current OT B-O 
practices OT B-O 
of OT B-O 
UN OT B-O 
composite OT B-O 
IBC AN I-AN 
re-bottling OT B-O 
and OT B-O 
cross OT B-O 
bottling OT B-O 
in LF I-LF 
several OT B-O 
countries OT B-O 
. OT B-O 

The OT B-O 
comprehensive OT B-O 
list OT B-O 
of OT B-O 
currently OT B-O 
identified OT B-O 
object OT B-O 
classes OT B-O 
( OT B-O 
including OT B-O 
cartographic OT B-O 
objects OT B-O 
and OT B-O 
composite OT B-O 
objects OT B-O 
) OT B-O 
, OT B-O 
their OT B-O 
appropriate OT B-O 
attributes OT B-O 
and OT B-O 
the OT B-O 
full OT B-O 
range OT B-O 
of OT B-O 
allowable OT B-O 
attribute OT B-O 
values OT B-O 
. OT B-O 
It OT B-O 
can OT B-O 
be OT B-O 
compared OT B-O 
to OT B-O 
the OT B-O 
Chart OT B-O 
1 OT B-O 
( OT B-O 
INT OT B-O 
1 OT B-O 
) OT B-O 
as OT B-O 
the OT B-O 
legend OT B-O 
of OT B-O 
the OT B-O 
paper OT B-O 
chart OT B-O 
, OT B-O 
a OT B-O 
collection OT B-O 
of OT B-O 
allowed OT B-O 
hydrographic OT B-O 
object OT B-O 
classes OT B-O 
. OT B-O 

Subregional OT B-O 
activities OT B-O 
for LF B-LF 
development OT B-O 
Legislative OT B-O 
mandates OT B-O 
15.1 OT B-O 
The OT B-O 
mandate OT B-O 
of OT B-O 
the LF I-LF 
Economic OT B-O 
and LF I-LF 
Social LF I-LF 
Commission LF I-LF 
for LF I-LF 
Asia LF I-LF 
and LF I-LF 
the LF I-LF 
Pacific LF I-LF 
( OT B-O 
ESCAP OT B-O 
) AN B-AN 
, OT B-O 
which OT B-O 
is LF I-LF 
to OT B-O 
promote OT B-O 
economic OT B-O 
and LF I-LF 
social OT B-O 
development OT B-O 
in OT B-O 
the LF I-LF 
Asian OT B-O 
and LF I-LF 
Pacific LF I-LF 
region OT B-O 
by OT B-O 
fostering OT B-O 
cooperation OT B-O 
between OT B-O 
its OT B-O 
members OT B-O 
and LF I-LF 
associate OT B-O 
members OT B-O 
, OT B-O 
is LF I-LF 
derived OT B-O 
from OT B-O 
Economic OT B-O 
and LF I-LF 
Social LF I-LF 
Council OT B-O 
resolutions OT B-O 
37 OT B-O 
( OT B-O 
IV OT B-O 
) AN I-AN 
and LF I-LF 
414 OT B-O 
( OT B-O 
XIII OT B-O 
) AN I-AN 
, OT B-O 
by OT B-O 
which OT B-O 
the LF I-LF 
Commission LF I-LF 
was OT B-O 
established OT B-O 
. OT B-O 

OIOS AN B-AN 
recommended OT B-O 
that OT B-O 
Secretariat OT B-O 
programmes OT B-O 
take OT B-O 
concrete OT B-O 
actions OT B-O 
to OT B-O 
reinforce OT B-O 
the LF B-LF 
commitment OT B-O 
to OT B-O 
gender OT B-O 
mainstreaming OT B-O 
and LF I-LF 
focus OT B-O 
on LF I-LF 
results OT B-O 
. OT B-O 
OIOS AN I-AN 
also OT B-O 
encouraged OT B-O 
the LF I-LF 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
the LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women AN I-AN 
) OT B-O 
to OT B-O 
take OT B-O 
the LF I-LF 
conclusions OT B-O 
of LF I-LF 
the LF I-LF 
evaluation OT B-O 
into OT B-O 
account OT B-O 
when OT B-O 
developing OT B-O 
its OT B-O 
mandate OT B-O 
and LF I-LF 
considering OT B-O 
its OT B-O 
resources OT B-O 
and LF I-LF 
structure OT B-O 
. OT B-O 

98 OT B-O 
. OT B-O 
The OT B-O 
Ministry OT B-O 
of OT B-O 
Education OT B-O 
and OT B-O 
Culture OT B-O 
has OT B-O 
supported OT B-O 
the OT B-O 
long-term OT B-O 
No OT B-O 
Racism LF B-LF 
( OT B-O 
NoRa OT B-O 
) AN B-AN 
programme OT B-O 
of OT B-O 
Save OT B-O 
the OT B-O 
Children OT B-O 
Finland OT B-O 
. OT B-O 

DRC AN B-AN 
= OT B-O 
Disability LF B-LF 
Rights LF B-LF 
Commission LF I-LF 
ECHR AN B-AN 
= OT B-O 
Convention LF I-LF 
for OT B-O 
the OT B-O 
Protection OT B-O 
of OT B-O 
Human LF I-LF 
Rights LF I-LF 
and OT B-O 
Fundamental OT B-O 
Freedoms OT B-O 
( OT B-O 
European LF I-LF 
Convention LF I-LF 
on LF I-LF 
Human LF I-LF 
Rights LF I-LF 
) OT B-O 
EOC AN B-AN 
= OT B-O 
Equal LF I-LF 
Opportunities LF I-LF 
Commission LF I-LF 
HRA AN B-AN 
= OT B-O 
Human LF I-LF 
Rights LF I-LF 
Act LF I-LF 
1998 OT B-O 

Other OT B-O 
travel-related OT B-O 
costs OT B-O 
Total OT B-O 
expenditure OT B-O 
Balancea OT B-O 
Abbreviations OT B-O 
: OT B-O 
AWG-KP AN B-AN 
= OT B-O 
Ad LF B-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
Further LF I-LF 
Commitments LF I-LF 
for LF I-LF 
Annex LF I-LF 
I LF I-LF 
Parties LF I-LF 
under LF I-LF 
the LF I-LF 
Kyoto LF I-LF 
Protocol LF I-LF 
, OT B-O 
AWG-LCA AN B-AN 
= OT B-O 
Ad LF I-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
Long-term LF I-LF 
Cooperative LF I-LF 
Action LF I-LF 
under LF I-LF 
the LF I-LF 
Convention OT B-O 
, OT B-O 
ADP AN B-AN 
= OT B-O 
Ad LF I-LF 
Hoc LF I-LF 
Working LF I-LF 
Group LF I-LF 
on LF I-LF 
the LF I-LF 
Durban LF I-LF 
Platform LF I-LF 
for LF I-LF 
Enhanced OT B-O 
Action LF I-LF 
, OT B-O 
SBI AN I-AN 
= OT B-O 
Subsidiary LF I-LF 
Body LF I-LF 
for LF I-LF 
Implementation LF I-LF 
, OT B-O 
SBSTA AN B-AN 
= OT B-O 
Subsidiary LF I-LF 
Body LF I-LF 
for LF I-LF 
Scientific LF I-LF 
and LF I-LF 
Technological LF I-LF 
Advice LF I-LF 
. OT B-O 

The OT B-O 
Alliance OT B-O 
: OT B-O 
( OT B-O 
a LF B-LF 
) OT B-O 
Led OT B-O 
the OT B-O 
European OT B-O 
( OT B-O 
Economic LF B-LF 
Commission LF I-LF 
for LF I-LF 
Europe LF I-LF 
( OT B-O 
ECE AN B-AN 
) OT B-O 
) OT B-O 
Regional OT B-O 
Caucus OT B-O 
in OT B-O 
partnership OT B-O 
with OT B-O 
other OT B-O 
regional OT B-O 
caucuses OT B-O 
at LF I-LF 
the OT B-O 
Commission LF I-LF 
on LF I-LF 
the OT B-O 
Status OT B-O 
of LF I-LF 
Women LF I-LF 
in OT B-O 
important OT B-O 
and LF I-LF 
successful OT B-O 
lobbying OT B-O 
of LF I-LF 
Governments OT B-O 
against OT B-O 
any OT B-O 
weakening OT B-O 
of LF I-LF 
language OT B-O 
in OT B-O 
the OT B-O 
agreed OT B-O 
conclusions OT B-O 
; OT B-O 
( OT B-O 
b OT B-O 
) OT B-O 
Worked OT B-O 
with OT B-O 
the OT B-O 
Gender LF I-LF 
Equality LF I-LF 
Architecture OT B-O 
Reform OT B-O 
campaign OT B-O 
to OT B-O 
ensure OT B-O 
the OT B-O 
establishment OT B-O 
of LF I-LF 
the OT B-O 
United LF I-LF 
Nations LF I-LF 
Entity LF I-LF 
for LF I-LF 
Gender LF I-LF 
Equality LF I-LF 
and LF I-LF 
Empowerment LF I-LF 
of LF I-LF 
Women LF I-LF 
( OT B-O 
UN-Women AN I-AN 
) OT B-O 
; OT B-O 
( OT B-O 
c LF I-LF 
) OT B-O 
Worked OT B-O 
with OT B-O 
other OT B-O 
leading OT B-O 
NGOs AN B-AN 
on LF I-LF 
the OT B-O 
needs OT B-O 
and LF I-LF 
concerns OT B-O 
of LF I-LF 
older OT B-O 
women OT B-O 
, OT B-O 
enabling OT B-O 
the OT B-O 
introduction OT B-O 
in OT B-O 
the OT B-O 
Committee OT B-O 
on LF I-LF 
the OT B-O 
Elimination OT B-O 
of LF I-LF 
Discrimination OT B-O 
against OT B-O 
Women LF I-LF 
of LF I-LF 
general OT B-O 
recommendation OT B-O 
No OT B-O 
. OT B-O 

10 OT B-O 
a.m. OT B-O 
- OT B-O 
1 OT B-O 
p.m. OT B-O 
Closed OT B-O 
meeting OT B-O 
Conference OT B-O 
Room OT B-O 
A OT B-O 
( OT B-O 
NLB OT B-O 
) OT B-O 
Group OT B-O 
of OT B-O 
77 OT B-O 
( OT B-O 
Second OT B-O 
Committee OT B-O 
- OT B-O 
- OT B-O 
Sustainable OT B-O 
development OT B-O 
issues OT B-O 
) OT B-O 
10 OT B-O 
a.m. OT B-O 
- OT B-O 
12 OT B-O 
noon OT B-O 
Closed OT B-O 
meeting OT B-O 
Conference OT B-O 
Room OT B-O 
D OT B-O 
( OT B-O 
NLB OT B-O 
) OT B-O 
Group OT B-O 
of OT B-O 
77 OT B-O 
( OT B-O 
Second OT B-O 
Committee OT B-O 
- OT B-O 
- OT B-O 
Macroeconomic OT B-O 
issues OT B-O 
) OT B-O 

The OT B-O 
Secretary-General OT B-O 
has OT B-O 
received OT B-O 
the OT B-O 
following OT B-O 
statement OT B-O 
, OT B-O 
which OT B-O 
is OT B-O 
being OT B-O 
circulated OT B-O 
in LF B-LF 
accordance OT B-O 
with OT B-O 
paragraphs OT B-O 
36 OT B-O 
and LF B-LF 
37 OT B-O 
of LF I-LF 
Economic LF I-LF 
and LF I-LF 
Social LF I-LF 
Council LF I-LF 
resolution LF I-LF 
1996/31 OT B-O 
of LF I-LF 
25 OT B-O 
July OT B-O 
1996 OT B-O 
. AN B-AN 
`` OT B-O 
International LF I-LF 
Federation LF I-LF 
of LF I-LF 
Women LF I-LF 
in LF I-LF 
Legal LF I-LF 
Careers LF I-LF 
'' OT B-O 
( OT B-O 
I.F.W.L.C AN I-AN 
) OT B-O 
is OT B-O 
an LF I-LF 
international OT B-O 
NGO AN B-AN 
founded OT B-O 
in LF I-LF 
Paris OT B-O 
in LF I-LF 
1928 OT B-O 
, OT B-O 
and LF I-LF 
has OT B-O 
a LF I-LF 
consultative OT B-O 
status OT B-O 
with OT B-O 
the OT B-O 
ECOSOC AN B-AN 
, OT B-O 
since OT B-O 
1961 OT B-O 
. AN I-AN 

The OT B-O 
implementation OT B-O 
of LF B-LF 
the LF I-LF 
monitoring OT B-O 
, OT B-O 
analysis OT B-O 
and LF I-LF 
reporting OT B-O 
arrangements OT B-O 
will OT B-O 
involve OT B-O 
the LF I-LF 
systematic OT B-O 
collection OT B-O 
of LF I-LF 
timely OT B-O 
, OT B-O 
accurate OT B-O 
, OT B-O 
reliable OT B-O 
and LF I-LF 
objective OT B-O 
information OT B-O 
on LF B-LF 
conflict-related OT B-O 
sexual OT B-O 
violence OT B-O 
to OT B-O 
inform OT B-O 
prevention OT B-O 
efforts OT B-O 
, OT B-O 
including OT B-O 
early OT B-O 
warning OT B-O 
. OT B-O 
It OT B-O 
will OT B-O 
also OT B-O 
reinforce OT B-O 
