-DOCSTART- -X- O

VANET AN B-AN 
نوع OT B-O 
خاصی OT B-O 
از OT B-O 
MANE AN B-AN 
ها OT B-O 
هستند OT B-O 
. OT B-O 
در OT B-O 
این OT B-O 
مقاله OT B-O 
پروتکل OT B-O 
های OT B-O 
موجود OT B-O 
که OT B-O 
مسیریابی OT B-O 
را OT B-O 
فراهم OT B-O 
می OT B-O 
کنند OT B-O 
معرفی OT B-O 
می OT B-O 
شوند OT B-O 
. OT B-O 
پروتکل OT B-O 
هایی OT B-O 
که OT B-O 
در OT B-O 
این OT B-O 
بخش OT B-O 
هی OT B-O 
آتی OT B-O 
شرح OT B-O 
داده OT B-O 
می OT B-O 
شوند OT B-O 
عبارتند OT B-O 
از OT B-O 
: OT B-O 
WTR AN B-AN 
[ OT B-O 
5 OT B-O 
] OT B-O 
, OT B-O 
AODV AN B-AN 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
SRB AN B-AN 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DRVS AN B-AN 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
GVGRID AN B-AN 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DOLPHIN OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DSR AN B-AN 
[ OT B-O 
4 OT B-O 
] OT B-O 
و OT B-O 
SADV AN B-AN 
[ OT B-O 
4 OT B-O 
] OT B-O 
هدف OT B-O 
اصلی OT B-O 
در OT B-O 
این OT B-O 
روش OT B-O 
ها OT B-O 
فراهم OT B-O 
کردن OT B-O 
امنیت OT B-O 
مسیر OT B-O 
است OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
. OT B-O 

‫ OT B-O 
‪ OT B-O 
ASBR AN B-AN 
‬‬ OT B-O 
‫ OT B-O 
دهد OT B-O 
تا OT B-O 
بهترین OT B-O 
مسیر OT B-O 
خارجی OT B-O 
را OT B-O 
انتخاب OT B-O 
کند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
منطق OT B-O 
‪ OT B-O 
،‬ OT B-O 
بسته OT B-O 
به OT B-O 
نوع OT B-O 
سوال OT B-O 
مسیریاب OT B-O 
از OT B-O 
یک OT B-O 
ناحیه OT B-O 
مشابه OT B-O 
مثل OT B-O 
‬ OT B-O 
‫ OT B-O 
( OT B-O 
ناحیه OT B-O 
میانی OT B-O 
) OT B-O 
یا OT B-O 
یک OT B-O 
ناحیه OT B-O 
متفاوت OT B-O 
( OT B-O 
میان OT B-O 
ناحیه OT B-O 
) OT B-O 
فرق OT B-O 
دارد OT B-O 
‪ OT B-O 
،‬ OT B-O 
که OT B-O 
در OT B-O 
دو OT B-O 
بخش OT B-O 
پایین OT B-O 
مورد OT B-O 
بحث OT B-O 
قرار OT B-O 
خواهد OT B-O 
گرفت OT B-O 
‪ OT B-O 
.‬‬ OT B-O 

به OT B-O 
هر OT B-O 
حال OT B-O 
، OT B-O 
مخلوط OT B-O 
2 OT B-O 
/ OT B-O 
N6 OT B-O 
SF OT B-O 
موضوعي OT B-O 
هستند OT B-O 
به OT B-O 
تأثير OT B-O 
شديد OT B-O 
بر OT B-O 
روي OT B-O 
رساناي OT B-O 
ذره OT B-O 
با OT B-O 
افزايش OT B-O 
فشار OT B-O 
گاز OT B-O 
، OT B-O 
بعلاوه OT B-O 
كاهش OT B-O 
مقدار OT B-O 
6 OT B-O 
SF OT B-O 
است OT B-O 
. OT B-O 
بنابراين OT B-O 
مطالعه OT B-O 
حاضر OT B-O 
مقايسه OT B-O 
مشخصه OT B-O 
هاي OT B-O 
شكست OT B-O 
اين OT B-O 
گازها OT B-O 
و OT B-O 
مخلوط OT B-O 
آنها OT B-O 
در OT B-O 
مورد OT B-O 
سطوح OT B-O 
مرزي OT B-O 
تميز OT B-O 
همچون OT B-O 
آلودگي OT B-O 
ذره OT B-O 
ايي OT B-O 
مي OT B-O 
باشد OT B-O 
. OT B-O 
نتايج OT B-O 
: OT B-O 

‫در OT B-O 
حال OT B-O 
بازتوزیع OT B-O 
از OT B-O 
فرایند OT B-O 
‪ OT B-O 
OSPF2 AN B-AN 
‬ OT B-O 
به OT B-O 
سمت OT B-O 
‪ OT B-O 
ELGRP AN B-AN 
ASS AN B-AN 
‬ OT B-O 
را OT B-O 
فیلتر OT B-O 
می OT B-O 
کنند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
مسیرهایی OT B-O 
که OT B-O 
در OT B-O 
جدول OT B-O 
‪ OT B-O 
1 OT B-O 
- OT B-O 
3 OT B-O 
‬ OT B-O 
وجود OT B-O 
‬ OT B-O 
‫ندارند OT B-O 
اما OT B-O 
در OT B-O 
شکل OT B-O 
‪ OT B-O 
1 OT B-O 
- OT B-O 
1 OT B-O 
‬ OT B-O 
آمده OT B-O 
اند OT B-O 
باید OT B-O 
بازتوزیع OT B-O 
شوند OT B-O 
‪ OT B-O 
.‬‬ OT B-O 

‫ﺷﮑﻞ‪ OT B-O 
: OT B-O 
2 OT B-O 
- OT B-O 
4 OT B-O 
‬ OT B-O 
ﺗﻌﺪاد OT B-O 
ﮔﺮهﻫﺎﯾﯽ OT B-O 
درﺧﻮاﺳﺖﻫﺎي OT B-O 
ﮐﺎرﺑﺮان OT B-O 
ﺑﻪ OT B-O 
آنﻫﺎ OT B-O 
ﻓﺮﺳﺘﺎده OT B-O 
ﻣﯽﺷﻮﻧﺪ OT B-O 
) OT B-O 
‪ OT B-O 
. OT B-O 
( OT B-O 
Khanli OT B-O 
, OT B-O 
2011 OT B-O 
‬‬ OT B-O 
‫در OT B-O 
ﺷﺒﯿﻪﺳﺎزي OT B-O 
ﺳﻮم OT B-O 
‪ OT B-O 
،‬ﻣﺎ OT B-O 
اﯾﻦ OT B-O 
ﺑﺎر OT B-O 
ﻣﺠﻤﻮع OT B-O 
ﺗﻌﺪاد OT B-O 
ﮔﺮهﻫـﺎي OT B-O 
ﻣﻼﻗـﺎت OT B-O 
ﺷـﺪه OT B-O 
در OT B-O 
دو OT B-O 
روش OT B-O 
‪ OT B-O 
FRDT AN B-AN 
‬ OT B-O 
و OT B-O 
‪ OT B-O 
Tree OT B-O 
method OT B-O 
‬ OT B-O 
را OT B-O 
در OT B-O 
‬ OT B-O 

از OT B-O 
دیگر OT B-O 
ویژگی‌های OT B-O 
متمایز OT B-O 
این OT B-O 
نسخه OT B-O 
سیستم OT B-O 
‌عامل OT B-O 
، OT B-O 
می‌توان OT B-O 
به OT B-O 
پشتیبانی OT B-O 
از OT B-O 
نقاط OT B-O 
دسترسی OT B-O 
( OT B-O 
Hotspot OT B-O 
) OT B-O 
و OT B-O 
قابلیت OT B-O 
پیشرفته‌ی OT B-O 
کپی OT B-O 
/ OT B-O 
چسباندن OT B-O 
آن OT B-O 
اشاره OT B-O 
کرد OT B-O 
. OT B-O 
گوگل OT B-O 
همچنین OT B-O 
صفحه LF B-LF 
سنتی LF I-LF 
قفل LF I-LF 
PIN AN B-AN 
را OT B-O 
در OT B-O 
این OT B-O 
نسخه OT B-O 
ارائه OT B-O 
نمود OT B-O 
و OT B-O 
بدین OT B-O 
ترتیب OT B-O 
کاربرانی OT B-O 
که OT B-O 
شیوه OT B-O 
قفل LF I-LF 
الگویی OT B-O 
اندروید OT B-O 
( OT B-O 
Pattern OT B-O 
lock OT B-O 
) OT B-O 
را OT B-O 
دوست OT B-O 
نداشتند OT B-O 
یا OT B-O 
بنا OT B-O 
به OT B-O 
مقتضیات OT B-O 
سیاست‌های OT B-O 
کاری OT B-O 
شرکت OT B-O 
متبوعشان OT B-O 
لازم OT B-O 
بود OT B-O 
تا OT B-O 
از OT B-O 
شیوه‌ای OT B-O 
ایمن‌تر OT B-O 
استفاده OT B-O 
کنند OT B-O 
، OT B-O 
می‌توانستند OT B-O 
از OT B-O 
این OT B-O 
شیوه‌ی OT B-O 
سنتی LF I-LF 
بهره OT B-O 
ببرند OT B-O 
. OT B-O 
از OT B-O 
نظر OT B-O 
کلی OT B-O 
از OT B-O 
نسخه OT B-O 
2 OT B-O 
. OT B-O 
2 OT B-O 
به OT B-O 
بعد OT B-O 
گوگل OT B-O 
کوشید OT B-O 
تا OT B-O 
گوشی‌های OT B-O 
مجهز OT B-O 
به OT B-O 
اندروید OT B-O 
را OT B-O 
به OT B-O 
گونه‌ای OT B-O 
آماده OT B-O 
سازی OT B-O 
نماید OT B-O 
که OT B-O 
بتوان OT B-O 
از OT B-O 
آن OT B-O 
در OT B-O 
محیط‌های OT B-O 
شرکتی OT B-O 
به OT B-O 
عنوان OT B-O 
ابزار OT B-O 
کار OT B-O 
بهره OT B-O 
بُرد OT B-O 
، OT B-O 
تا OT B-O 
بدین OT B-O 
ترتیب OT B-O 
با OT B-O 
گوشی‌های OT B-O 
بلک‌بری OT B-O 
به OT B-O 
رقابت OT B-O 
بپردازد OT B-O 
. OT B-O 

3 OT B-O 
. OT B-O 
اجبار OT B-O 
استفاده OT B-O 
در OT B-O 
همان OT B-O 
باند OT B-O 
مشخص OT B-O 
شده OT B-O 
2 OT B-O 
- OT B-O 
1 OT B-O 
- OT B-O 
11 OT B-O 
- OT B-O 
4 OT B-O 
- OT B-O 
سیستم OT B-O 
های OT B-O 
رادیویی OT B-O 
UHF AN B-AN 
/ OT B-O 
VHF AN B-AN 
طبق OT B-O 
تقسیم OT B-O 
بندی OT B-O 
فرکانس OT B-O 
ها OT B-O 
از OT B-O 
300 OT B-O 
MHZ AN B-AN 
تا OT B-O 
328 OT B-O 
.6 OT B-O 
MHZ AN I-AN 
برای OT B-O 
باند OT B-O 
VHF AN I-AN 
و OT B-O 
328 OT B-O 
.6 OT B-O 
MHZ AN I-AN 
تا OT B-O 
209 OT B-O 
GHZ AN B-AN 
برای OT B-O 
باند OT B-O 
UHF AN I-AN 
در OT B-O 
نظر OT B-O 
گرفته OT B-O 
شده OT B-O 
است OT B-O 
کار OT B-O 
دراین OT B-O 
سیستم OT B-O 
نیاز OT B-O 
به OT B-O 
مجوز OT B-O 
می OT B-O 
باشد OT B-O 
و OT B-O 
دامنه OT B-O 
کاری OT B-O 
انها OT B-O 
تا OT B-O 
30 OT B-O 
KM AN B-AN 
می OT B-O 
باشد OT B-O 
با OT B-O 
توجه OT B-O 
به OT B-O 
نیاز OT B-O 
به OT B-O 
اخذ OT B-O 
مجوز OT B-O 
جهت OT B-O 
هر OT B-O 
فرکانس OT B-O 
کاری OT B-O 
حداکثر OT B-O 
تا OT B-O 
