-DOCSTART- -X- O

92\ OT B-O 
] OT B-O 
. AN B-AN 
This OT B-O 
selective OT B-O 
approach OT B-O 
led OT B-O 
to OT B-O 
significant OT B-O 
results OT B-O 
in OT B-O 
some OT B-O 
restricted OT B-O 
applications LF B-LF 
( OT B-O 
ATIS AN I-AN 
... AN I-AN 
) OT B-O 
. AN I-AN 

We OT B-O 
conduct OT B-O 
a LF B-LF 
case OT B-O 
study OT B-O 
of OT B-O 
dialectal OT B-O 
language OT B-O 
in OT B-O 
online OT B-O 
conversational OT B-O 
text OT B-O 
by OT B-O 
investigating OT B-O 
African-American LF I-LF 
English LF I-LF 
( OT B-O 
AAE AN B-AN 
) OT B-O 
on OT B-O 
Twitter OT B-O 
. OT B-O 

An LF B-LF 
arguably OT B-O 
better OT B-O 
approach OT B-O 
to OT B-O 
representation OT B-O 
learning OT B-O 
is LF I-LF 
Canonical OT B-O 
Correlation LF I-LF 
Analysis LF I-LF 
( OT B-O 
CCA OT B-O 
) AN B-AN 
that OT B-O 
induces OT B-O 
representations OT B-O 
that OT B-O 
are OT B-O 
maximally OT B-O 
cor- OT B-O 

23-28 OT B-O 
, OT B-O 
1992 OT B-O 
Proceedings OT B-O 
of OT B-O 
NAACL-HLT AN B-AN 
2015 OT B-O 
Student LF B-LF 
Research LF I-LF 
Workshop LF I-LF 
( OT B-O 
SRW AN B-AN 
) OT B-O 
, OT B-O 
pages OT B-O 
110 OT B-O 
? OT B-O 
117 OT B-O 
, OT B-O 
Denver OT B-O 
, OT B-O 
Colorado OT B-O 
, OT B-O 
June OT B-O 
1 OT B-O 
, OT B-O 
2015 OT B-O 
. OT B-O 

itly OT B-O 
mark OT B-O 
objects LF B-LF 
of LF I-LF 
prepositions LF I-LF 
( OT B-O 
POBJ AN B-AN 
) OT B-O 
, OT B-O 
possessors OT B-O 
in OT B-O 
idafa LF B-LF 
construction LF I-LF 
( OT B-O 
IDAFA AN B-AN 
) OT B-O 
, OT B-O 
conjuncts LF B-LF 
( OT B-O 
CONJ AN B-AN 
) OT B-O 
and OT B-O 
conjunctions LF B-LF 
( OT B-O 
