-DOCSTART- -X- O

Her OT B-O 
er OT B-O 
der OT B-O 
fare OT B-O 
for OT B-O 
at OT B-O 
skabe OT B-O 
en OT B-O 
monopolsituation OT B-O 
inden OT B-O 
for OT B-O 
demonteringsindustrien OT B-O 
. OT B-O 
Det OT B-O 
gælder OT B-O 
specielt OT B-O 
i OT B-O 
områder OT B-O 
inden OT B-O 
for OT B-O 
EU OT B-O 
, OT B-O 
hvor OT B-O 
afstandene OT B-O 
er OT B-O 
store OT B-O 
, OT B-O 
og OT B-O 
hvor OT B-O 
mange OT B-O 
små OT B-O 
virksomheder OT B-O 
er OT B-O 
engageret OT B-O 
i OT B-O 
demonteringen OT B-O 
. OT B-O 

Medlemsstaterne OT B-O 
vil OT B-O 
således OT B-O 
fremover OT B-O 
kunne OT B-O 
fjerne OT B-O 
den OT B-O 
beskatningsmæssige OT B-O 
forskelsbehandling OT B-O 
af LF B-LF 
salg OT B-O 
af LF I-LF 
varmeenergi OT B-O 
og OT B-O 
tilslutning OT B-O 
til OT B-O 
fjernvarme- OT B-O 
og OT B-O 
fjernkøleanlæg OT B-O 
, OT B-O 
der OT B-O 
anvender OT B-O 
vedvarende OT B-O 
energi OT B-O 
, OT B-O 
og OT B-O 
levering OT B-O 
af LF I-LF 
naturgas OT B-O 
og OT B-O 
elektricitet OT B-O 
. OT B-O 
Jeg OT B-O 
tilslutter OT B-O 
mig OT B-O 
fuldt OT B-O 
ud OT B-O 
ordførerens OT B-O 
henstillinger OT B-O 
vedrørende OT B-O 
anvendelsen OT B-O 
af LF I-LF 
strukturfondene OT B-O 
, OT B-O 
Samhørighedsfonden OT B-O 
og OT B-O 
Den OT B-O 
Europæiske LF I-LF 
Landbrugsfond LF I-LF 
for LF I-LF 
Udvikling LF I-LF 
af LF I-LF 
Landdistrikterne LF I-LF 
( OT B-O 
ELFUL AN B-AN 
) OT B-O 
. OT B-O 

Parlamentet OT B-O 
er OT B-O 
klar OT B-O 
over OT B-O 
, OT B-O 
hvor OT B-O 
vigtigt OT B-O 
vi OT B-O 
alle OT B-O 
sammen OT B-O 
synes OT B-O 
, OT B-O 
at OT B-O 
spørgsmålet OT B-O 
om OT B-O 
gennemsigtighed OT B-O 
i OT B-O 
konkurrencepolitikken OT B-O 
er OT B-O 
, OT B-O 
og OT B-O 
jeg OT B-O 
har OT B-O 
også OT B-O 
personligt OT B-O 
haft OT B-O 
denne OT B-O 
opfattelse OT B-O 
lige OT B-O 
siden OT B-O 
den OT B-O 
første OT B-O 
dag OT B-O 
, OT B-O 
jeg OT B-O 
var OT B-O 
til OT B-O 
høring OT B-O 
i OT B-O 
Udvalget OT B-O 
om OT B-O 
Økonomi OT B-O 
og OT B-O 
Valutaspørgsmål OT B-O 
, OT B-O 
nemlig OT B-O 
den OT B-O 
1. OT B-O 
september OT B-O 
. OT B-O 
Hvad OT B-O 
angår OT B-O 
konkurrencepolitikkens OT B-O 
internationale OT B-O 
dimension OT B-O 
, OT B-O 
kan OT B-O 
jeg OT B-O 
forsikre OT B-O 
Dem OT B-O 
for OT B-O 
, OT B-O 
hr OT B-O 
. OT B-O 
Rapkay OT B-O 
, OT B-O 
at OT B-O 
Kommissionen OT B-O 
er OT B-O 
villig OT B-O 
til OT B-O 
at OT B-O 
udarbejde OT B-O 
en OT B-O 
beretning OT B-O 
til OT B-O 
Parlamentet OT B-O 
om OT B-O 
dette OT B-O 
emne OT B-O 
, OT B-O 
som OT B-O 
også OT B-O 
fru OT B-O 
Randzio-Plath OT B-O 
har OT B-O 
henledt OT B-O 
vores OT B-O 
opmærksomhed OT B-O 
på OT B-O 
, OT B-O 
og OT B-O 
jeg OT B-O 
kan OT B-O 
med OT B-O 
hensyn OT B-O 
til OT B-O 
hvilket OT B-O 
sige OT B-O 
, OT B-O 
at OT B-O 
vi OT B-O 
har OT B-O 
nogle OT B-O 
meget OT B-O 
tilfredsstillende OT B-O 
bilaterale OT B-O 
forbindelser OT B-O 
med OT B-O 
vores OT B-O 
kolleger OT B-O 
i OT B-O 
USA OT B-O 
, OT B-O 
Canada OT B-O 
og OT B-O 
Japan OT B-O 
, OT B-O 
og OT B-O 
at OT B-O 
vi OT B-O 
arbejder OT B-O 
på OT B-O 
at OT B-O 
få OT B-O 
indført OT B-O 
en OT B-O 
egentlig OT B-O 
konkurrenceafdeling OT B-O 
i OT B-O 
Verdenshandelsorganisationen OT B-O 
. OT B-O 

EU AN B-AN 
kan OT B-O 
med OT B-O 
sit OT B-O 
konstruktive OT B-O 
forslag OT B-O 
om OT B-O 
landbrugsdelen OT B-O 
( OT B-O 
utallige OT B-O 
indrømmelser OT B-O 
og OT B-O 
en OT B-O 
gennemgående OT B-O 
reform OT B-O 
af OT B-O 
den OT B-O 
fælles OT B-O 
landbrugspolitik OT B-O 
) OT B-O 
siges OT B-O 
at OT B-O 
have OT B-O 
ydet OT B-O 
et OT B-O 
livsvigtigt OT B-O 
bidrag OT B-O 
, OT B-O 
som OT B-O 
bringer OT B-O 
det OT B-O 
tættere OT B-O 
på OT B-O 
en OT B-O 
aftale OT B-O 
. OT B-O 
Derfor OT B-O 
skal OT B-O 
disse OT B-O 
utallige OT B-O 
indrømmelser OT B-O 
nu OT B-O 
modsvares OT B-O 
af OT B-O 
fremskridt OT B-O 
vedrørende OT B-O 
markedsadgang LF B-LF 
for LF I-LF 
ikke-landbrugsvarer LF I-LF 
( OT B-O 
NAMA AN B-AN 
) OT B-O 
og OT B-O 
tjenesteydelser OT B-O 
. OT B-O 

Spørgsmål OT B-O 
nr OT B-O 
. OT B-O 
4 OT B-O 
af LF B-LF 
Thomas OT B-O 
Megahy OT B-O 
( OT B-O 
H-0531/96 OT B-O 
) OT B-O 
: OT B-O 
Om OT B-O 
: OT B-O 
Uomstødeligheden OT B-O 
af LF I-LF 
medlemskab OT B-O 
af LF I-LF 
EU OT B-O 
I OT B-O 
et LF I-LF 
referat OT B-O 
af LF I-LF 
forhandlingerne OT B-O 
under OT B-O 
regeringskonferencen OT B-O 
, OT B-O 
som OT B-O 
blev OT B-O 
forelagt LF I-LF 
medlemmerne LF I-LF 
af LF I-LF 
Europa-Parlamentet LF I-LF 
den LF I-LF 
5. OT B-O 
juni OT B-O 
1996 OT B-O 
af LF I-LF 
Guigou OT B-O 
( OT B-O 
F-PSE AN B-AN 
) OT B-O 
og OT B-O 
Brok OT B-O 
( OT B-O 
D-PPE OT B-O 
) OT B-O 
, OT B-O 
fremsattes OT B-O 
følgende OT B-O 
erklæring OT B-O 
: OT B-O 
« OT B-O 
Med OT B-O 
hensyn OT B-O 
til OT B-O 
spørgsmålet OT B-O 
om OT B-O 
en LF I-LF 
medlemsstats OT B-O 
gentagne OT B-O 
og OT B-O 
overlagte OT B-O 
krænkelse OT B-O 
af LF I-LF 
menneskerettighederne OT B-O 
eller OT B-O 
ophør OT B-O 
med LF I-LF 
at OT B-O 
være OT B-O 
demokratisk OT B-O 
er LF I-LF 
de LF I-LF 
fleste OT B-O 
repræsentanter OT B-O 
enige OT B-O 
om OT B-O 
, OT B-O 
at OT B-O 
det OT B-O 
bør OT B-O 
være OT B-O 
muligt OT B-O 
at OT B-O 
benytte OT B-O 
sanktioner OT B-O 
over OT B-O 
for LF I-LF 
en LF I-LF 
sådan OT B-O 
stat OT B-O 
, OT B-O 
... OT B-O 
. OT B-O 
uden OT B-O 
dog OT B-O 
at OT B-O 
gå OT B-O 
så OT B-O 
vidt OT B-O 
som OT B-O 
til OT B-O 
at OT B-O 
ekskludere OT B-O 
en LF I-LF 
medlemsstat OT B-O 
, OT B-O 
da OT B-O 
dette OT B-O 
ville OT B-O 
underminere OT B-O 
princippet OT B-O 
om OT B-O 
uomstødeligheden OT B-O 
af LF I-LF 
medlemskab OT B-O 
« OT B-O 
. OT B-O 

Jeg OT B-O 
forstår OT B-O 
, OT B-O 
at OT B-O 
Irland OT B-O 
mener OT B-O 
, OT B-O 
at OT B-O 
den OT B-O 
nationale OT B-O 
statsstøtteordning OT B-O 
skal OT B-O 
kompensere OT B-O 
besætningsmedlemmer OT B-O 
. OT B-O 
Når OT B-O 
det OT B-O 
så OT B-O 
er LF B-LF 
sagt OT B-O 
, OT B-O 
og OT B-O 
hvis OT B-O 
man OT B-O 
ser OT B-O 
bort OT B-O 
fra OT B-O 
det OT B-O 
endelige OT B-O 
ophør OT B-O 
, OT B-O 
der OT B-O 
forbindes OT B-O 
med OT B-O 
en OT B-O 
oplægning OT B-O 
, OT B-O 
så OT B-O 
giver OT B-O 
Den OT B-O 
Europæiske LF I-LF 
Fiskerifond LF I-LF 
( OT B-O 
EFF AN B-AN 
) OT B-O 
også OT B-O 
mulighed OT B-O 
for OT B-O 
socioøkonomisk OT B-O 
kompensation OT B-O 
, OT B-O 
diversificering OT B-O 
, OT B-O 
omskoling OT B-O 
og OT B-O 
tidlig OT B-O 
pensionering OT B-O 
. OT B-O 

Tværtimod OT B-O 
tror OT B-O 
jeg OT B-O 
, OT B-O 
man OT B-O 
kan OT B-O 
sige OT B-O 
, OT B-O 
at OT B-O 
dette OT B-O 
krav OT B-O 
kun OT B-O 
opfyldes OT B-O 
, OT B-O 
hvis OT B-O 
FYROM OT B-O 
's OT B-O 
forbindelser OT B-O 
med OT B-O 
alle OT B-O 
dets OT B-O 
naboer OT B-O 
udglattes OT B-O 
de OT B-O 
jure OT B-O 
. OT B-O 
Sammen OT B-O 
med OT B-O 
den OT B-O 
nødvendige OT B-O 
forbedring OT B-O 
af OT B-O 
visse OT B-O 
aspekter OT B-O 
af OT B-O 
den OT B-O 
interne OT B-O 
situation OT B-O 
i OT B-O 
landet OT B-O 
, OT B-O 
hvad OT B-O 
angår OT B-O 
mindretal OT B-O 
og OT B-O 
demokratiske OT B-O 
institutioner OT B-O 
, OT B-O 
vil OT B-O 
dette OT B-O 
fuldende OT B-O 
det OT B-O 
billede OT B-O 
af OT B-O 
politisk OT B-O 
modenhed OT B-O 
, OT B-O 
som OT B-O 
FYROM OT B-O 
i OT B-O 
øvrigt OT B-O 
har OT B-O 
fremvist OT B-O 
, OT B-O 
og OT B-O 
som OT B-O 
har OT B-O 
gjort OT B-O 
oprettelsen OT B-O 
af OT B-O 
tættere OT B-O 
forbindelser OT B-O 
med OT B-O 
vores OT B-O 
europæiske OT B-O 
familie OT B-O 
acceptabel OT B-O 
. OT B-O 

Om OT B-O 
: OT B-O 
Ligestillingsstrategi OT B-O 
i LF B-LF 
Kommissionen OT B-O 
Kommissionen OT B-O 
lancerede OT B-O 
den OT B-O 
17. OT B-O 
december OT B-O 
2010 OT B-O 
en OT B-O 
ny OT B-O 
strategi OT B-O 
for OT B-O 
lige OT B-O 
muligheder OT B-O 
for OT B-O 
mænd OT B-O 
og OT B-O 
kvinder OT B-O 
frem OT B-O 
til LF I-LF 
2014 OT B-O 
, OT B-O 
hvori OT B-O 
den OT B-O 
fastlagde OT B-O 
nye OT B-O 
målsætninger OT B-O 
for OT B-O 
antallet OT B-O 
af OT B-O 
kvinder OT B-O 
i LF I-LF 
mellem- OT B-O 
og OT B-O 
toplederstillinger OT B-O 
og OT B-O 
antallet OT B-O 
af OT B-O 
kvinder OT B-O 
, OT B-O 
der OT B-O 
skal OT B-O 
ansættes OT B-O 
i LF I-LF 
administratorstillinger OT B-O 
( OT B-O 
AD OT B-O 
) AN B-AN 
i LF I-LF 
Kommissionens OT B-O 
generaldirektorater OT B-O 
og OT B-O 
tjenestegrene OT B-O 
. OT B-O 

Indførelse OT B-O 
