-DOCSTART- -X- O

VANET OT B-O 
نوع OT B-O 
خاصی OT B-O 
از OT B-O 
MANE OT B-O 
ها OT B-O 
هستند OT B-O 
. OT B-O 
در OT B-O 
این OT B-O 
مقاله OT B-O 
پروتکل OT B-O 
های OT B-O 
موجود OT B-O 
که OT B-O 
مسیریابی OT B-O 
را OT B-O 
فراهم OT B-O 
می OT B-O 
کنند OT B-O 
معرفی OT B-O 
می OT B-O 
شوند OT B-O 
. OT B-O 
پروتکل OT B-O 
هایی OT B-O 
که OT B-O 
در OT B-O 
این OT B-O 
بخش OT B-O 
هی OT B-O 
آتی OT B-O 
شرح OT B-O 
داده OT B-O 
می OT B-O 
شوند OT B-O 
عبارتند OT B-O 
از OT B-O 
: OT B-O 
WTR OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
, OT B-O 
AODV OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
SRB OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DRVS OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
GVGRID OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DOLPHIN OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
و OT B-O 
DSR OT B-O 
[ OT B-O 
4 OT B-O 
] OT B-O 
و OT B-O 
SADV OT B-O 
[ OT B-O 
4 OT B-O 
] OT B-O 
هدف OT B-O 
اصلی OT B-O 
در OT B-O 
این OT B-O 
روش OT B-O 
ها OT B-O 
فراهم OT B-O 
کردن OT B-O 
امنیت OT B-O 
مسیر OT B-O 
است OT B-O 
[ OT B-O 
5 OT B-O 
] OT B-O 
. OT B-O 

‫ OT B-O 
‪ OT B-O 
ASBR OT B-O 
‬‬ OT B-O 
‫ OT B-O 
دهد OT B-O 
تا OT B-O 
بهترین OT B-O 
مسیر OT B-O 
خارجی OT B-O 
را OT B-O 
انتخاب OT B-O 
کند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
منطق OT B-O 
‪ OT B-O 
،‬ OT B-O 
بسته OT B-O 
به OT B-O 
نوع OT B-O 
سوال OT B-O 
مسیریاب OT B-O 
از OT B-O 
یک OT B-O 
ناحیه OT B-O 
مشابه OT B-O 
مثل OT B-O 
‬ OT B-O 
‫ OT B-O 
( OT B-O 
ناحیه OT B-O 
میانی OT B-O 
) OT B-O 
یا OT B-O 
یک OT B-O 
ناحیه OT B-O 
متفاوت OT B-O 
( OT B-O 
میان OT B-O 
ناحیه OT B-O 
) OT B-O 
فرق OT B-O 
دارد OT B-O 
‪ OT B-O 
،‬ OT B-O 
که OT B-O 
در OT B-O 
دو OT B-O 
بخش OT B-O 
پایین OT B-O 
مورد OT B-O 
بحث OT B-O 
قرار OT B-O 
خواهد OT B-O 
گرفت OT B-O 
‪ OT B-O 
.‬‬ OT B-O 

به OT B-O 
هر OT B-O 
حال OT B-O 
، OT B-O 
مخلوط OT B-O 
2 OT B-O 
/ OT B-O 
N6 OT B-O 
SF OT B-O 
موضوعي OT B-O 
هستند OT B-O 
به OT B-O 
تأثير OT B-O 
شديد OT B-O 
بر OT B-O 
روي OT B-O 
رساناي OT B-O 
ذره OT B-O 
با OT B-O 
افزايش OT B-O 
فشار OT B-O 
گاز OT B-O 
، OT B-O 
بعلاوه OT B-O 
كاهش OT B-O 
مقدار OT B-O 
6 OT B-O 
SF OT B-O 
است OT B-O 
. OT B-O 
بنابراين OT B-O 
مطالعه OT B-O 
حاضر OT B-O 
مقايسه OT B-O 
مشخصه OT B-O 
هاي OT B-O 
شكست OT B-O 
اين OT B-O 
گازها OT B-O 
و OT B-O 
مخلوط OT B-O 
آنها OT B-O 
در OT B-O 
مورد OT B-O 
سطوح OT B-O 
مرزي OT B-O 
تميز OT B-O 
همچون OT B-O 
آلودگي OT B-O 
ذره OT B-O 
ايي OT B-O 
مي OT B-O 
باشد OT B-O 
. OT B-O 
نتايج OT B-O 
: OT B-O 

‫در OT B-O 
حال OT B-O 
بازتوزیع OT B-O 
از OT B-O 
فرایند OT B-O 
‪ OT B-O 
OSPF2 OT B-O 
‬ OT B-O 
به OT B-O 
سمت OT B-O 
‪ OT B-O 
ELGRP OT B-O 
ASS OT B-O 
‬ OT B-O 
را OT B-O 
فیلتر OT B-O 
می OT B-O 
کنند OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
مسیرهایی OT B-O 
که OT B-O 
در OT B-O 
جدول OT B-O 
‪ OT B-O 
1 OT B-O 
- OT B-O 
3 OT B-O 
‬ OT B-O 
وجود OT B-O 
‬ OT B-O 
‫ندارند OT B-O 
اما OT B-O 
در OT B-O 
شکل OT B-O 
‪ OT B-O 
1 OT B-O 
- OT B-O 
1 OT B-O 
‬ OT B-O 
آمده OT B-O 
اند OT B-O 
باید OT B-O 
بازتوزیع OT B-O 
شوند OT B-O 
‪ OT B-O 
.‬‬ OT B-O 

‫ﺷﮑﻞ‪ OT B-O 
: OT B-O 
2 OT B-O 
- OT B-O 
4 OT B-O 
‬ OT B-O 
ﺗﻌﺪاد OT B-O 
ﮔﺮهﻫﺎﯾﯽ OT B-O 
درﺧﻮاﺳﺖﻫﺎي OT B-O 
ﮐﺎرﺑﺮان OT B-O 
ﺑﻪ OT B-O 
آنﻫﺎ OT B-O 
ﻓﺮﺳﺘﺎده OT B-O 
ﻣﯽﺷﻮﻧﺪ OT B-O 
) OT B-O 
‪ OT B-O 
. OT B-O 
( OT B-O 
Khanli OT B-O 
, OT B-O 
2011 OT B-O 
‬‬ OT B-O 
‫در OT B-O 
ﺷﺒﯿﻪﺳﺎزي OT B-O 
ﺳﻮم OT B-O 
‪ OT B-O 
،‬ﻣﺎ OT B-O 
اﯾﻦ OT B-O 
ﺑﺎر OT B-O 
ﻣﺠﻤﻮع OT B-O 
ﺗﻌﺪاد OT B-O 
ﮔﺮهﻫـﺎي OT B-O 
ﻣﻼﻗـﺎت OT B-O 
ﺷـﺪه OT B-O 
در OT B-O 
دو OT B-O 
روش OT B-O 
‪ OT B-O 
FRDT OT B-O 
‬ OT B-O 
و OT B-O 
‪ OT B-O 
Tree OT B-O 
method OT B-O 
‬ OT B-O 
را OT B-O 
در OT B-O 
‬ OT B-O 

از OT B-O 
دیگر OT B-O 
ویژگی‌های OT B-O 
متمایز OT B-O 
این OT B-O 
نسخه OT B-O 
سیستم OT B-O 
‌عامل OT B-O 
، OT B-O 
می‌توان OT B-O 
به OT B-O 
پشتیبانی OT B-O 
از OT B-O 
نقاط OT B-O 
دسترسی OT B-O 
( OT B-O 
Hotspot OT B-O 
) OT B-O 
و OT B-O 
قابلیت OT B-O 
پیشرفته‌ی OT B-O 
کپی OT B-O 
/ OT B-O 
چسباندن OT B-O 
آن OT B-O 
اشاره OT B-O 
کرد OT B-O 
. OT B-O 
گوگل OT B-O 
همچنین OT B-O 
صفحه LF B-LF 
سنتی LF I-LF 
قفل LF I-LF 
PIN AN B-AN 
را OT B-O 
در OT B-O 
این OT B-O 
نسخه OT B-O 
ارائه OT B-O 
نمود OT B-O 
و OT B-O 
بدین OT B-O 
ترتیب OT B-O 
کاربرانی OT B-O 
که OT B-O 
شیوه OT B-O 
قفل LF I-LF 
الگویی OT B-O 
اندروید OT B-O 
( OT B-O 
Pattern OT B-O 
lock OT B-O 
) OT B-O 
را OT B-O 
دوست OT B-O 
نداشتند OT B-O 
یا OT B-O 
بنا OT B-O 
به OT B-O 
مقتضیات OT B-O 
سیاست‌های OT B-O 
کاری OT B-O 
شرکت OT B-O 
متبوعشان OT B-O 
لازم OT B-O 
بود OT B-O 
تا OT B-O 
از OT B-O 
شیوه‌ای OT B-O 
ایمن‌تر OT B-O 
استفاده OT B-O 
کنند OT B-O 
، OT B-O 
می‌توانستند OT B-O 
از OT B-O 
این OT B-O 
شیوه‌ی OT B-O 
سنتی LF I-LF 
بهره OT B-O 
ببرند OT B-O 
. OT B-O 
از OT B-O 
نظر OT B-O 
کلی OT B-O 
از OT B-O 
نسخه OT B-O 
2 OT B-O 
. OT B-O 
2 OT B-O 
به OT B-O 
بعد OT B-O 
گوگل OT B-O 
کوشید OT B-O 
تا OT B-O 
گوشی‌های OT B-O 
مجهز OT B-O 
به OT B-O 
اندروید OT B-O 
را OT B-O 
به OT B-O 
گونه‌ای OT B-O 
آماده OT B-O 
سازی OT B-O 
نماید OT B-O 
که OT B-O 
بتوان OT B-O 
از OT B-O 
آن OT B-O 
در OT B-O 
محیط‌های OT B-O 
شرکتی OT B-O 
به OT B-O 
عنوان OT B-O 
ابزار OT B-O 
کار OT B-O 
بهره OT B-O 
بُرد OT B-O 
، OT B-O 
تا OT B-O 
بدین OT B-O 
ترتیب OT B-O 
با OT B-O 
گوشی‌های OT B-O 
بلک‌بری OT B-O 
به OT B-O 
رقابت OT B-O 
بپردازد OT B-O 
. OT B-O 

3 OT B-O 
. OT B-O 
اجبار OT B-O 
استفاده OT B-O 
در OT B-O 
همان OT B-O 
باند OT B-O 
مشخص OT B-O 
شده OT B-O 
2 OT B-O 
- OT B-O 
1 OT B-O 
- OT B-O 
11 OT B-O 
- OT B-O 
4 OT B-O 
- OT B-O 
سیستم OT B-O 
های OT B-O 
رادیویی OT B-O 
UHF OT B-O 
/ OT B-O 
VHF OT B-O 
طبق OT B-O 
تقسیم OT B-O 
بندی OT B-O 
فرکانس OT B-O 
ها OT B-O 
از OT B-O 
300 OT B-O 
MHZ OT B-O 
تا OT B-O 
328 OT B-O 
.6 OT B-O 
MHZ OT B-O 
برای OT B-O 
باند OT B-O 
VHF OT B-O 
و OT B-O 
328 OT B-O 
.6 OT B-O 
MHZ OT B-O 
تا OT B-O 
209 OT B-O 
GHZ OT B-O 
برای OT B-O 
باند OT B-O 
UHF OT B-O 
در OT B-O 
نظر OT B-O 
گرفته OT B-O 
شده OT B-O 
است OT B-O 
کار OT B-O 
دراین OT B-O 
سیستم OT B-O 
نیاز OT B-O 
به OT B-O 
مجوز OT B-O 
می OT B-O 
باشد OT B-O 
و OT B-O 
دامنه OT B-O 
کاری OT B-O 
انها OT B-O 
تا OT B-O 
30 OT B-O 
KM OT B-O 
می OT B-O 
باشد OT B-O 
با OT B-O 
توجه OT B-O 
به OT B-O 
نیاز OT B-O 
به OT B-O 
اخذ OT B-O 
مجوز OT B-O 
جهت OT B-O 
هر OT B-O 
فرکانس OT B-O 
کاری OT B-O 
حداکثر OT B-O 
تا OT B-O 
سی OT B-O 
پست OT B-O 
را OT B-O 
می OT B-O 
توان OT B-O 
با OT B-O 
یک OT B-O 
فرکانس OT B-O 
به OT B-O 
روش OT B-O 
POLLING OT B-O 
جمع OT B-O 
اوری OT B-O 
نمود OT B-O 
رادیو OT B-O 
با OT B-O 
باند OT B-O 
VHF OT B-O 
در OT B-O 
مقایسه OT B-O 
با OT B-O 
باند OT B-O 
UHF OT B-O 
به OT B-O 
تلفات OT B-O 
کم OT B-O 
کابرد OT B-O 
بیشتری OT B-O 
دارد OT B-O 
ولی OT B-O 
در OT B-O 
هردو OT B-O 
ترافیک OT B-O 
موجود OT B-O 
بوده OT B-O 
و OT B-O 
امکان OT B-O 
تداخل OT B-O 
نیز OT B-O 
وجود OT B-O 
دارد OT B-O 
باند OT B-O 
UHF OT B-O 
دارای OT B-O 
شرایط OT B-O 
نویزی OT B-O 
بوده OT B-O 
و OT B-O 
دامنه OT B-O 
ارسال OT B-O 
ان OT B-O 
کوچک OT B-O 
بوده OT B-O 
البته OT B-O 
بیشتر OT B-O 
شرکت OT B-O 
های OT B-O 
برق OT B-O 
منطقه OT B-O 
ای OT B-O 
در OT B-O 
ایران OT B-O 
برای OT B-O 
نیاز OT B-O 
مخابراتی OT B-O 
مدیریتی OT B-O 
اداری OT B-O 
و OT B-O 
عملیاتی OT B-O 
از OT B-O 
باند OT B-O 
فرکانسی OT B-O 
VHF OT B-O 
برای OT B-O 
ارتباطات OT B-O 
ثابت OT B-O 
و OT B-O 
سیار OT B-O 
استفاده OT B-O 
می OT B-O 
نمایند OT B-O 

در OT B-O 
سكشنالايزر OT B-O 
RL OT B-O 
- OT B-O 
Series OT B-O 
كه OT B-O 
درون OT B-O 
آن OT B-O 
با OT B-O 
گاز OT B-O 
SF6 OT B-O 
پر OT B-O 
شده OT B-O 
است OT B-O 
و OT B-O 
از OT B-O 
دو OT B-O 
طرح OT B-O 
و OT B-O 
ساختار OT B-O 
تشكيل OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 
كه OT B-O 
محفظه‌ي OT B-O 
انتقال OT B-O 
و OT B-O 
كنترل OT B-O 
و OT B-O 
حفاظت OT B-O 
آن OT B-O 
نيز OT B-O 
شبيه OT B-O 
به OT B-O 
N OT B-O 
- OT B-O 
Series OT B-O 
است OT B-O 
. OT B-O 

DWH OT B-O 
داده‌های OT B-O 
ديگری OT B-O 
به OT B-O 
نام OT B-O 
داده‌های OT B-O 
اشتقاق OT B-O 
يافته OT B-O 
( OT B-O 
derived OT B-O 
data OT B-O 
) OT B-O 
دارد OT B-O 
. OT B-O 
اين OT B-O 
داده‌ها OT B-O 
به OT B-O 
طور OT B-O 
صريح OT B-O 
در OT B-O 
منابع OT B-O 
عملياتي OT B-O 
ذخيره OT B-O 
نمي‌شوند OT B-O 
، OT B-O 
بلكه OT B-O 
در OT B-O 
حين OT B-O 
بعضي OT B-O 
از OT B-O 
فرايندها OT B-O 
از OT B-O 
داده‌های OT B-O 
عملياتي OT B-O 
، OT B-O 
اشتقاق OT B-O 
مي‌يابند OT B-O 
. OT B-O 
برای OT B-O 
مثال OT B-O 
داده‌های OT B-O 
فروش OT B-O 
را OT B-O 
مي‌توان OT B-O 
در OT B-O 
سطوح OT B-O 
مختلف OT B-O 
( OT B-O 
هفتگي OT B-O 
، OT B-O 
ماهانه OT B-O 
، OT B-O 
فصلي OT B-O 
) OT B-O 
در OT B-O 
انبار OT B-O 
ذخيره OT B-O 
نمود OT B-O 
. OT B-O 

5 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
توپولوژی OT B-O 
بر OT B-O 
مبنای OT B-O 
RTU OT B-O 
107 OT B-O 
6 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
توپولوژی OT B-O 
غیر OT B-O 
متمرکز OT B-O 
107 OT B-O 
6 OT B-O 
- OT B-O 
5 OT B-O 
- OT B-O 
پروتکل OT B-O 
های OT B-O 
ارتباطی OT B-O 
108 OT B-O 

ملاحضه OT B-O 
می OT B-O 
کنیم OT B-O 
که OT B-O 
وقتی OT B-O 
انبار OT B-O 
مرکزی OT B-O 
متداول OT B-O 
در OT B-O 
همه OT B-O 
کاربردها OT B-O 
وجود OT B-O 
داشته OT B-O 
باشد OT B-O 
مزیت OT B-O 
زیادی OT B-O 
دارد OT B-O 
. OT B-O 
حافظه OT B-O 
کافی OT B-O 
، OT B-O 
بهبود OT B-O 
ظرفیت OT B-O 
گردآوری OT B-O 
و LF B-LF 
قابلیت OT B-O 
استفاده OT B-O 
بین OT B-O 
ابزارها OT B-O 
هر OT B-O 
یک OT B-O 
می OT B-O 
توانند OT B-O 
مزیت OT B-O 
باشند OT B-O 
. OT B-O 
پردازش OT B-O 
اطلاعات LF I-LF 
: OT B-O 
وقتی OT B-O 
اطلاعات LF I-LF 
وضعیت LF I-LF 
( OT B-O 
ایمنی OT B-O 
) OT B-O 
دریافت OT B-O 
می OT B-O 
شود OT B-O 
، OT B-O 
بیشتر OT B-O 
حسگرهای OT B-O 
محلی OT B-O 
یا OT B-O 
به OT B-O 
طور OT B-O 
کلی OT B-O 
دامنه OT B-O 
ارتباطی OT B-O 
پردازش OT B-O 
اطلاعات LF I-LF 
و LF I-LF 
به OT B-O 
روز OT B-O 
رسانی OT B-O 
وضعیت LF I-LF 
ایمنی OT B-O 
IR AN B-AN 
را OT B-O 
انجام OT B-O 
می OT B-O 
دهند OT B-O 
. OT B-O 

شناسه LF B-LF 
فروشنده OT B-O 
Vendor OT B-O 
ID AN B-AN 
Text OT B-O 

Duty OT B-O 
Cycle OT B-O 
L OT B-O 
- OT B-O 
4 OT B-O 
771 OT B-O 
X OT B-O 

مهم‌ترين OT B-O 
نوع OT B-O 
مدولاسيون OT B-O 
غيرخطي OT B-O 
، OT B-O 
در OT B-O 
مخابرات OT B-O 
ديجيتال OT B-O 
مدولاسيون OT B-O 
FSK AN B-AN 
يا OT B-O 
« OT B-O 
كليدزني LF B-LF 
فركانس LF I-LF 
» OT B-O 
است OT B-O 
. OT B-O 
در OT B-O 
اين OT B-O 
نوع OT B-O 
مدولاسيون OT B-O 
به OT B-O 
واسطه‌ي OT B-O 
وجود OT B-O 
دو OT B-O 
حالت OT B-O 
0 OT B-O 
و OT B-O 
1 OT B-O 
سيگنال OT B-O 
انتقالي OT B-O 
نيز OT B-O 
داراي OT B-O 
تغييرات OT B-O 
فركانس LF I-LF 
در OT B-O 
دو OT B-O 
سطح OT B-O 
متفاوت OT B-O 
است OT B-O 
، OT B-O 
كه OT B-O 
فركانس LF I-LF 
در OT B-O 
هر OT B-O 
بازه‌ي OT B-O 
زماني OT B-O 
مشخص OT B-O 
بيان‌كننده OT B-O 
ماهيت OT B-O 
سيگنال OT B-O 
پيام OT B-O 
است OT B-O 
. OT B-O 
چون OT B-O 
سينگنال OT B-O 
حامل OT B-O 
به OT B-O 
صورت OT B-O 
مقابل OT B-O 
تعريف OT B-O 
مي‌شود OT B-O 
: OT B-O 

R4 OT B-O 
‫ OT B-O 
پیکره OT B-O 
بندی OT B-O 
اولیه OT B-O 
‬ OT B-O 
1 OT B-O 
- OT B-O 
19 OT B-O 
‫ OT B-O 
مثال‬ OT B-O 
R4 OT B-O 
# OT B-O 
show OT B-O 
run OT B-O 
brief OT B-O 

image OT B-O 
_ OT B-O 
type OT B-O 
_ OT B-O 
to OT B-O 
_ OT B-O 
mime OT B-O 
_ OT B-O 
type OT B-O 
( OT B-O 
IMAGETYPE OT B-O 
_ OT B-O 
PNG OT B-O 
) OT B-O 
) OT B-O 
; OT B-O 
? OT B-O 
> OT B-O 
اين OT B-O 
تابع OT B-O 
ميتواند OT B-O 
حاوي OT B-O 
يکي OT B-O 
از OT B-O 
خروجي OT B-O 
هاي OT B-O 
زير OT B-O 
باشد OT B-O 
: OT B-O 

براي OT B-O 
قسمت OT B-O 
پمپاژ OT B-O 
، OT B-O 
از OT B-O 
موتورهاي OT B-O 
كم‌صدا OT B-O 
استفاده OT B-O 
شده OT B-O 
است OT B-O 
. OT B-O 
حجم OT B-O 
مايع OT B-O 
اين OT B-O 
سيستم OT B-O 
1000 OT B-O 
گالن OT B-O 
مي‌باشد OT B-O 
كه OT B-O 
مقداري OT B-O 
الكل OT B-O 
به OT B-O 
آب OT B-O 
افزوده OT B-O 
شده OT B-O 
تا OT B-O 
در OT B-O 
مواقعي OT B-O 
كه OT B-O 
هوا OT B-O 
سرد OT B-O 
بوده OT B-O 
و OT B-O 
از OT B-O 
STATCON OT B-O 
استفاده OT B-O 
نمي‌شود OT B-O 
، OT B-O 
مايع OT B-O 
يخ OT B-O 
نزند OT B-O 
. OT B-O 
تلفات OT B-O 
اينورترها OT B-O 
در OT B-O 
قدرت OT B-O 
كامل OT B-O 
KW OT B-O 
600 OT B-O 
مي‌باشد OT B-O 
و OT B-O 
اين OT B-O 
طرح OT B-O 
در OT B-O 
سال OT B-O 
1994 OT B-O 
اجرا OT B-O 
گشته OT B-O 
است OT B-O 
. OT B-O 

دسته OT B-O 
شدن OT B-O 
عمودي OT B-O 
پرتو OT B-O 
رخ OT B-O 
مي OT B-O 
دهد OT B-O 
. OT B-O 
با OT B-O 
دسته OT B-O 
شدن OT B-O 
پرتو OT B-O 
مقدار OT B-O 
قابل OT B-O 
توجهي OT B-O 
انرژي OT B-O 
از OT B-O 
پرتو OT B-O 
الكتروني OT B-O 
به OT B-O 
مد OT B-O 
تحريك OT B-O 
شده OT B-O 
منتقل OT B-O 
مي OT B-O 
شود OT B-O 
. OT B-O 
گايروترونها OT B-O 
به OT B-O 
صورت OT B-O 
اسيلاتورها OT B-O 
به OT B-O 
كار OT B-O 
برده OT B-O 
مي OT B-O 
شوند OT B-O 
اگر OT B-O 
چه OT B-O 
از OT B-O 
گايروترونها OT B-O 
در OT B-O 
تركيب OT B-O 
با OT B-O 
كلايسترون OT B-O 
و OT B-O 
مدار OT B-O 
TWT OT B-O 
استفاده OT B-O 
شده OT B-O 
كه OT B-O 
تقويت OT B-O 
كننده OT B-O 
هاي OT B-O 
گايروكلاسيترون OT B-O 
و OT B-O 
گايرو OT B-O 
TWT OT B-O 
بوجود OT B-O 
آمده OT B-O 
است OT B-O 
. OT B-O 

اگرچه OT B-O 
اطلاعات OT B-O 
اضافی OT B-O 
همانند OT B-O 
ساختار OT B-O 
محلی OT B-O 
همسایه OT B-O 
ها OT B-O 
شاید OT B-O 
فقط OT B-O 
به OT B-O 
اصلاح OT B-O 
کارکرد OT B-O 
پروتکل OT B-O 
کمک OT B-O 
می OT B-O 
کند OT B-O 
، OT B-O 
ولی OT B-O 
این OT B-O 
اطلاعات OT B-O 
فقط OT B-O 
افزایش OT B-O 
سربار OT B-O 
شبکه OT B-O 
را OT B-O 
به OT B-O 
همراه OT B-O 
دارند OT B-O 
. OT B-O 
بنابراین OT B-O 
معتقدیم OT B-O 
که OT B-O 
آن OT B-O 
سه OT B-O 
پرچم OT B-O 
دانش OT B-O 
لازم OT B-O 
را OT B-O 
در OT B-O 
مورد OT B-O 
ساختار OT B-O 
محلی OT B-O 
را OT B-O 
توسعه OT B-O 
می OT B-O 
دهند OT B-O 
، OT B-O 
که OT B-O 
برای OT B-O 
DV OT B-O 
- OT B-O 
CAST OT B-O 
برای OT B-O 
تعیین OT B-O 
چگونگی OT B-O 
مدیریت OT B-O 
انتشار OT B-O 
بسته OT B-O 
ها OT B-O 
کافی OT B-O 
است OT B-O 
و OT B-O 
اجرای OT B-O 
قابل OT B-O 
قبولی OT B-O 
دارد OT B-O 
. OT B-O 
2 OT B-O 
- OT B-O 
3 OT B-O 
- OT B-O 
10 OT B-O 
- OT B-O 
3 OT B-O 
قواعد OT B-O 
مسیر OT B-O 
یابی OT B-O 

ویجت‌های OT B-O 
قابل OT B-O 
توسعه OT B-O 
: OT B-O 
در OT B-O 
حالی OT B-O 
که OT B-O 
اندروید OT B-O 
1 OT B-O 
. OT B-O 
0 OT B-O 
و OT B-O 
1 OT B-O 
. OT B-O 
1 OT B-O 
از OT B-O 
نظر OT B-O 
فنی OT B-O 
دارای OT B-O 
قابلیت OT B-O 
تازه‌ای OT B-O 
به OT B-O 
نام OT B-O 
ویجت OT B-O 
یا OT B-O 
ابزارک OT B-O 
بودند OT B-O 
، OT B-O 
پتانسیل OT B-O 
کامل OT B-O 
آنها OT B-O 
همچنان OT B-O 
غیر OT B-O 
قابل OT B-O 
دسترس OT B-O 
بود OT B-O 
و OT B-O 
شرکت‌های OT B-O 
ثالث OT B-O 
می‌بایست OT B-O 
تا OT B-O 
عرضه‌ی OT B-O 
SDK OT B-O 
مربوطه OT B-O 
از OT B-O 
سوی OT B-O 
گوگل OT B-O 
صبر OT B-O 
بیشتری OT B-O 
می‌کردند OT B-O 
. OT B-O 
در OT B-O 
آن OT B-O 
دوران OT B-O 
تنها OT B-O 
ابزارک OT B-O 
موجود OT B-O 
کادرهایی OT B-O 
بودند OT B-O 
که OT B-O 
در OT B-O 
اندروید OT B-O 
پیش‌بینی OT B-O 
شده OT B-O 
بود OT B-O 
. OT B-O 

‫استفاده OT B-O 
در OT B-O 
نمونه OT B-O 
های OT B-O 
با OT B-O 
زتوزیع OT B-O 
‪ OT B-O 
EIGRP OT B-O 
‬ OT B-O 
می OT B-O 
پردازد OT B-O 
‪ OT B-O 
. OT B-O 
‬ OT B-O 
شکل OT B-O 
‪ OT B-O 
3 OT B-O 
- OT B-O 
