SET	Precision	Recall	F1-Score
englishlegaltrain	18.89%	8.62%	11.84%
englishlegaldev	21.19%	8.94%	12.58%
englishscientifictrain	20.21%	8.03%	11.50%
englishscientificdev	19.70%	7.47%	10.84%
danishtrain	18.17%	5.75%	8.73%
danishdev	20.46%	6.19%	9.50%
frenchtrain	17.57%	6.33%	9.31%
frenchdev	16.67%	5.31%	8.06%
persiantrain	43.36%	43.82%	43.59%
persiandev	45.03%	43.73%	44.37%
spanishtrain	13.24%	5.41%	7.68%
spanishdev	14.76%	5.79%	8.31%
vietnamesetrain	25.49%	39.90%	31.11%
vietnamesedev	32.09%	39.43%	35.38%
