SET	Precision	Recall	F1-Score
danishtrain	68.53%	5.74%	10.59%
danishdev	71.09%	6.19%	11.38%
englishlegaltrain	68.87%	8.49%	15.11%
englishlegaldev	71.31%	8.82%	15.70%
englishscientifictrain	70.59%	7.94%	14.28%
englishscientificdev	69.81%	7.37%	13.33%
frenchtrain	67.36%	6.28%	11.48%
frenchdev	66.35%	5.24%	9.72%
persiantrain	93.70%	43.59%	59.50%
persiandev	95.17%	43.57%	59.77%
spanishtrain	63.28%	5.37%	9.91%
spanishdev	64.88%	5.79%	10.63%
vietnamesetrain	75.48%	39.68%	52.01%
vietnamesedev	82.16%	39.14%	53.02%
